controller=local horizon=1 threshold=0.0
step[s], count, density[car/km], speed[m/s], hamiltonian, xterm, sigmaterm, waiting rate, co2[kg/s]
0, 1, 9.86484e-03, 1.01330e+01, 0.00000e+00, 0.00000e+00, -2.19000e+02, 1.00000e+00, 2.62472e-03
1, 8, 7.89187e-02, 1.01085e+01, 4.36719e-01, 4.36719e-01, -2.19000e+02, 8.75000e-01, 2.17436e-02
2, 16, 1.57837e-01, 1.00840e+01, 8.73439e-01, 8.73439e-01, -2.19000e+02, 5.00000e-01, 4.94692e-02
3, 22, 2.17027e-01, 1.00702e+01, 1.20098e+00, 1.20098e+00, -2.19000e+02, 2.72727e-01, 7.58093e-02
4, 30, 2.95945e-01, 1.00528e+01, 1.52852e+00, 1.52852e+00, -2.19000e+02, 2.66667e-01, 1.17323e-01
5, 37, 3.64999e-01, 1.00431e+01, 1.91065e+00, 1.91065e+00, -2.19000e+02, 1.89189e-01, 1.62511e-01
6, 45, 4.43918e-01, 1.00368e+01, 2.34737e+00, 2.34737e+00, -2.19000e+02, 1.77778e-01, 2.25028e-01
7, 52, 5.12972e-01, 1.00353e+01, 2.62032e+00, 2.62032e+00, -2.19000e+02, 1.34615e-01, 2.88676e-01
8, 60, 5.91891e-01, 1.00310e+01, 2.94786e+00, 2.94786e+00, -2.19000e+02, 1.33333e-01, 3.22504e-01
9, 67, 6.60945e-01, 1.00318e+01, 3.38458e+00, 3.38458e+00, -2.19000e+02, 1.04478e-01, 3.36205e-01
10, 75, 7.39863e-01, 1.00227e+01, 3.49375e+00, 3.49375e+00, -2.19000e+02, 1.06667e-01, 3.07400e-01
11, 82, 8.08917e-01, 1.00173e+01, 4.25801e+00, 4.25801e+00, -2.19000e+02, 9.75610e-02, 3.39377e-01
12, 89, 8.77971e-01, 1.00040e+01, 4.53096e+00, 4.53096e+00, -2.19000e+02, 8.98876e-02, 3.55183e-01
13, 96, 9.47025e-01, 9.99067e+00, 4.74932e+00, 4.74932e+00, -2.19000e+02, 7.29167e-02, 3.74699e-01
14, 104, 1.02594e+00, 9.97262e+00, 5.02227e+00, 5.02227e+00, -2.19000e+02, 1.15385e-01, 3.70927e-01
15, 110, 1.08513e+00, 9.96466e+00, 5.40440e+00, 5.40440e+00, -2.19000e+02, 1.36364e-01, 4.08136e-01
16, 117, 1.15419e+00, 9.95231e+00, 5.84112e+00, 5.84112e+00, -2.19000e+02, 1.45299e-01, 3.76332e-01
17, 124, 1.22324e+00, 9.94143e+00, 6.55079e+00, 6.55079e+00, -2.19000e+02, 1.69355e-01, 4.23073e-01
18, 130, 1.28243e+00, 9.93355e+00, 6.65997e+00, 6.65997e+00, -2.19000e+02, 1.69231e-01, 4.19457e-01
19, 138, 1.36135e+00, 9.92311e+00, 6.87833e+00, 6.87833e+00, -2.19000e+02, 1.95652e-01, 4.11142e-01
20, 145, 1.43040e+00, 9.90566e+00, 6.82374e+00, 6.82374e+00, -2.19000e+02, 2.27586e-01, 4.11779e-01
21, 149, 1.46986e+00, 9.90078e+00, 6.71456e+00, 6.71456e+00, -2.19000e+02, 2.34899e-01, 4.26213e-01
22, 158, 1.55865e+00, 9.89041e+00, 7.75177e+00, 7.75177e+00, -2.19000e+02, 2.78481e-01, 4.39262e-01
23, 165, 1.62770e+00, 9.87997e+00, 8.89816e+00, 8.89816e+00, -2.19000e+02, 2.72727e-01, 4.71363e-01
24, 174, 1.71648e+00, 9.85769e+00, 9.88078e+00, 9.88078e+00, -2.19000e+02, 2.87356e-01, 4.68726e-01
25, 182, 1.79540e+00, 9.84799e+00, 1.01657e+01, 1.01657e+01, -2.19000e+02, 2.91209e-01, 5.11426e-01
26, 188, 1.85459e+00, 9.84431e+00, 1.06025e+01, 1.06025e+01, -2.19000e+02, 2.92553e-01, 5.53866e-01
27, 197, 1.94337e+00, 9.83634e+00, 1.19126e+01, 1.19126e+01, -2.19000e+02, 3.09645e-01, 5.29874e-01
28, 204, 2.01243e+00, 9.83289e+00, 1.23493e+01, 1.23493e+01, -2.19000e+02, 3.08824e-01, 6.20610e-01
29, 212, 2.09135e+00, 9.81896e+00, 1.32228e+01, 1.32228e+01, -2.19000e+02, 3.25472e-01, 6.07783e-01
30, 219, 2.16040e+00, 9.80653e+00, 1.32774e+01, 1.32774e+01, -2.19000e+02, 3.24201e-01, 6.67231e-01
31, 226, 2.22945e+00, 9.80219e+00, 1.42054e+01, 1.42054e+01, -2.19000e+02, 3.23009e-01, 6.42372e-01
32, 235, 2.31824e+00, 9.79717e+00, 1.50788e+01, 1.50788e+01, -2.19000e+02, 3.31915e-01, 6.90133e-01
33, 242, 2.38729e+00, 9.79533e+00, 1.69895e+01, 1.69895e+01, -2.19000e+02, 3.26446e-01, 6.96212e-01
34, 249, 2.45635e+00, 9.77341e+00, 1.74262e+01, 1.74262e+01, -2.19000e+02, 3.33333e-01, 6.74392e-01
35, 255, 2.51554e+00, 9.75547e+00, 1.70987e+01, 1.70987e+01, -2.19000e+02, 3.33333e-01, 6.82910e-01
36, 261, 2.57472e+00, 9.75436e+00, 1.66619e+01, 1.66619e+01, -2.19000e+02, 3.40996e-01, 7.10218e-01
37, 268, 2.64378e+00, 9.74031e+00, 1.82996e+01, 1.82996e+01, -2.19000e+02, 3.69403e-01, 7.27396e-01
38, 276, 2.72270e+00, 9.73141e+00, 1.90519e+01, 1.90519e+01, -2.19000e+02, 3.76812e-01, 7.40655e-01
39, 284, 2.80162e+00, 9.72549e+00, 1.93369e+01, 1.93369e+01, -2.19000e+02, 3.90845e-01, 7.21522e-01
40, 291, 2.87067e+00, 9.71053e+00, 1.90639e+01, 1.90639e+01, -2.19000e+02, 3.98625e-01, 7.37743e-01
