controller=global horizon=1 threshold=0.1
step[s], count, density[car/km], speed[m/s], hamiltonian, xterm, sigmaterm, waiting rate, co2[kg/s]
0, 1, 2.91967e-02, 1.01779e+01, 0.00000e+00, 0.00000e+00, 1.00000e+00, 1.00000e+00, 2.62472e-03
1, 5, 1.45983e-01, 1.01356e+01, 2.72950e-01, 2.72950e-01, 1.00000e+00, 8.00000e-01, 1.42574e-02
2, 10, 2.91967e-01, 1.00888e+01, 5.45899e-01, 5.45899e-01, 1.00000e+00, 5.00000e-01, 3.23399e-02
3, 14, 4.08753e-01, 1.00595e+01, 8.18849e-01, 8.18849e-01, 1.00000e+00, 2.85714e-01, 4.99687e-02
4, 19, 5.54737e-01, 1.00263e+01, 9.82619e-01, 9.82619e-01, 1.00000e+00, 2.63158e-01, 7.54466e-02
5, 23, 6.71523e-01, 1.00114e+01, 1.47393e+00, 1.47393e+00, 1.00000e+00, 1.73913e-01, 1.03568e-01
6, 28, 8.17507e-01, 9.99399e+00, 1.63770e+00, 1.63770e+00, 1.00000e+00, 1.78571e-01, 1.40925e-01
7, 31, 9.05097e-01, 1.00038e+01, 1.47393e+00, 1.47393e+00, 1.00000e+00, 9.67742e-02, 1.66221e-01
8, 35, 1.02188e+00, 1.00088e+01, 1.69229e+00, 1.69229e+00, 1.00000e+00, 1.14286e-01, 1.77847e-01
9, 40, 1.16787e+00, 1.00012e+01, 2.07442e+00, 2.07442e+00, 1.00000e+00, 1.25000e-01, 2.00251e-01
10, 44, 1.28465e+00, 9.99510e+00, 2.45655e+00, 2.45655e+00, 1.00000e+00, 9.09091e-02, 2.08975e-01
11, 48, 1.40144e+00, 9.97241e+00, 2.62032e+00, 2.62032e+00, 1.00000e+00, 8.33333e-02, 1.82222e-01
12, 52, 1.51823e+00, 9.93380e+00, 3.05704e+00, 3.05704e+00, 1.00000e+00, 1.34615e-01, 1.82604e-01
13, 55, 1.60582e+00, 9.93346e+00, 3.38458e+00, 3.38458e+00, 1.00000e+00, 9.09091e-02, 1.92028e-01
14, 59, 1.72260e+00, 9.92953e+00, 3.87588e+00, 3.87588e+00, 1.00000e+00, 1.01695e-01, 2.09370e-01
15, 64, 1.86859e+00, 9.92989e+00, 4.42178e+00, 4.42178e+00, 1.00000e+00, 1.71875e-01, 2.05709e-01
16, 69, 2.01457e+00, 9.88342e+00, 4.47637e+00, 4.47637e+00, 1.00000e+00, 1.88406e-01, 2.32580e-01
17, 74, 2.16055e+00, 9.87396e+00, 5.62276e+00, 5.62276e+00, 1.00000e+00, 2.02703e-01, 2.40585e-01
18, 80, 2.33573e+00, 9.82527e+00, 6.07070e+00, 6.07070e+00, 1.00000e+00, 2.00000e-01, 2.54820e-01
19, 83, 2.42332e+00, 9.82216e+00, 6.39824e+00, 6.39824e+00, 1.00000e+00, 2.04819e-01, 2.62248e-01
20, 86, 2.51091e+00, 9.80924e+00, 7.21709e+00, 7.21709e+00, 1.00000e+00, 2.20930e-01, 2.61329e-01
21, 90, 2.62770e+00, 9.76631e+00, 7.21709e+00, 7.21709e+00, 1.00000e+00, 2.44444e-01, 2.49622e-01
22, 95, 2.77368e+00, 9.72802e+00, 7.59922e+00, 7.59922e+00, 1.00000e+00, 2.84211e-01, 2.55730e-01
23, 99, 2.89047e+00, 9.70932e+00, 8.85479e+00, 8.85479e+00, 1.00000e+00, 3.23232e-01, 2.85643e-01
24, 103, 3.00726e+00, 9.68975e+00, 9.12774e+00, 9.12774e+00, 1.00000e+00, 3.20388e-01, 2.98817e-01
25, 106, 3.09485e+00, 9.68149e+00, 1.03833e+01, 1.03833e+01, 1.00000e+00, 3.39623e-01, 3.13794e-01
26, 111, 3.24083e+00, 9.66682e+00, 1.08200e+01, 1.08200e+01, 1.00000e+00, 3.69369e-01, 3.12795e-01
27, 115, 3.35762e+00, 9.64453e+00, 1.09292e+01, 1.09292e+01, 1.00000e+00, 3.91304e-01, 3.01447e-01
28, 120, 3.50360e+00, 9.61613e+00, 1.17481e+01, 1.17481e+01, 1.00000e+00, 4.08333e-01, 3.13696e-01
29, 124, 3.62039e+00, 9.61726e+00, 1.33312e+01, 1.33312e+01, 1.00000e+00, 4.03226e-01, 3.35413e-01
30, 127, 3.70798e+00, 9.60596e+00, 1.37133e+01, 1.37133e+01, 1.00000e+00, 4.48819e-01, 3.37140e-01
31, 131, 3.82476e+00, 9.60959e+00, 1.49143e+01, 1.49143e+01, 1.00000e+00, 4.50382e-01, 3.20468e-01
32, 136, 3.97075e+00, 9.58283e+00, 1.54602e+01, 1.54602e+01, 1.00000e+00, 4.70588e-01, 3.25405e-01
33, 139, 4.05834e+00, 9.55688e+00, 1.55148e+01, 1.55148e+01, 1.00000e+00, 4.74820e-01, 3.24093e-01
34, 142, 4.14593e+00, 9.53440e+00, 1.56673e+01, 1.56673e+01, 1.00000e+00, 5.00000e-01, 3.70098e-01
35, 146, 4.26271e+00, 9.52986e+00, 1.59403e+01, 1.59403e+01, 1.00000e+00, 5.20548e-01, 3.88729e-01
36, 151, 4.40870e+00, 9.50594e+00, 1.75780e+01, 1.75780e+01, 1.00000e+00, 5.36424e-01, 3.64146e-01
37, 154, 4.49629e+00, 9.47635e+00, 1.79601e+01, 1.79601e+01, 1.00000e+00, 5.25974e-01, 3.71799e-01
38, 158, 4.61307e+00, 9.43326e+00, 1.91065e+01, 1.91065e+01, 1.00000e+00, 5.56962e-01, 3.53041e-01
39, 161, 4.70066e+00, 9.39814e+00, 2.00891e+01, 2.00891e+01, 1.00000e+00, 5.77640e-01, 3.77461e-01
40, 164, 4.78825e+00, 9.37879e+00, 2.01983e+01, 2.01983e+01, 1.00000e+00, 5.97561e-01, 4.29118e-01
41, 168, 4.90504e+00, 9.36491e+00, 2.16176e+01, 2.16176e+01, 1.00000e+00, 6.07143e-01, 4.15569e-01
42, 172, 5.02183e+00, 9.35022e+00, 2.34737e+01, 2.34737e+01, 1.00000e+00, 6.27907e-01, 3.98878e-01
43, 173, 5.05102e+00, 9.37210e+00, 2.56573e+01, 2.56573e+01, 1.00000e+00, 6.30058e-01, 4.52719e-01
44, 181, 5.28460e+00, 9.33595e+00, 2.80046e+01, 2.80046e+01, 1.00000e+00, 6.46409e-01, 4.56056e-01
45, 185, 5.40138e+00, 9.32506e+00, 2.75679e+01, 2.75679e+01, 1.00000e+00, 6.16216e-01, 5.00245e-01
46, 189, 5.51817e+00, 9.31045e+00, 2.75133e+01, 2.75133e+01, 1.00000e+00, 6.34921e-01, 5.17644e-01
47, 193, 5.63496e+00, 9.29347e+00, 2.76225e+01, 2.76225e+01, 1.00000e+00, 6.47668e-01, 5.32904e-01
48, 199, 5.81014e+00, 9.26270e+00, 2.80592e+01, 2.80592e+01, 1.00000e+00, 6.43216e-01, 5.31622e-01
49, 202, 5.89773e+00, 9.25239e+00, 2.91510e+01, 2.91510e+01, 1.00000e+00, 6.43564e-01, 5.25441e-01
50, 208, 6.07291e+00, 9.22322e+00, 3.06249e+01, 3.06249e+01, 1.00000e+00, 6.49038e-01, 5.63587e-01
51, 212, 6.18969e+00, 9.20944e+00, 3.12800e+01, 3.12800e+01, 1.00000e+00, 6.50943e-01, 5.85275e-01
52, 216, 6.30648e+00, 9.22042e+00, 3.20989e+01, 3.20989e+01, 1.00000e+00, 6.52778e-01, 5.59142e-01
53, 220, 6.42327e+00, 9.22306e+00, 3.31907e+01, 3.31907e+01, 1.00000e+00, 6.59091e-01, 5.84037e-01
54, 224, 6.54005e+00, 9.22384e+00, 3.45554e+01, 3.45554e+01, 1.00000e+00, 6.65179e-01, 6.22779e-01
55, 230, 6.71523e+00, 9.22860e+00, 3.55380e+01, 3.55380e+01, 1.00000e+00, 6.78261e-01, 6.22207e-01
56, 236, 6.89041e+00, 9.19014e+00, 3.61931e+01, 3.61931e+01, 1.00000e+00, 6.69492e-01, 6.15232e-01
57, 239, 6.97800e+00, 9.17846e+00, 3.64115e+01, 3.64115e+01, 1.00000e+00, 6.73640e-01, 6.21467e-01
58, 242, 7.06559e+00, 9.17642e+00, 3.81038e+01, 3.81038e+01, 1.00000e+00, 6.69421e-01, 6.33584e-01
59, 246, 7.18238e+00, 9.17074e+00, 3.82129e+01, 3.82129e+01, 1.00000e+00, 6.70732e-01, 6.25253e-01
60, 251, 7.32836e+00, 9.17335e+00, 0.00000e+00, 0.00000e+00, 4.50000e+01, 6.81275e-01, 6.71688e-01
61, 255, 7.44515e+00, 9.15689e+00, 4.21434e+01, 4.21434e+01, 4.50000e+01, 6.82353e-01, 6.80289e-01
62, 259, 7.56194e+00, 9.14271e+00, 4.38903e+01, 4.38903e+01, 4.50000e+01, 6.75676e-01, 6.86233e-01
63, 263, 7.67872e+00, 9.08718e+00, 4.50367e+01, 4.50367e+01, 4.50000e+01, 6.80608e-01, 6.50565e-01
64, 269, 7.85390e+00, 9.03245e+00, 4.66198e+01, 4.66198e+01, 4.50000e+01, 6.91450e-01, 6.58396e-01
