controller=local horizon=1 threshold=0.0
step[s], count, density[car/km], speed[m/s], hamiltonian, xterm, sigmaterm, waiting rate, co2[kg/s], calc time
0, 1, 3.42345e-03, 1.01039e+01, 0.00000e+00, 0.00000e+00, -6.19000e+02, 1.00000e+00, 2.62472e-03, 2.18153e-04
1, 18, 6.16220e-02, 1.00835e+01, 8.73439e-01, 8.73439e-01, -6.19000e+02, 9.44444e-01, 4.79521e-02, 2.18153e-04
2, 35, 1.19821e-01, 1.00660e+01, 1.80147e+00, 1.80147e+00, -6.19000e+02, 4.85714e-01, 1.06264e-01, 2.18153e-04
3, 52, 1.78019e-01, 1.00526e+01, 2.83868e+00, 2.83868e+00, -6.19000e+02, 3.26923e-01, 1.83397e-01, 2.18153e-04
4, 71, 2.43065e-01, 1.00391e+01, 3.87588e+00, 3.87588e+00, -6.19000e+02, 2.67606e-01, 2.75930e-01, 2.18153e-04
5, 88, 3.01263e-01, 1.00301e+01, 4.69473e+00, 4.69473e+00, -6.19000e+02, 1.93182e-01, 3.80229e-01, 2.18153e-04
6, 104, 3.56038e-01, 1.00270e+01, 5.78653e+00, 5.78653e+00, -6.19000e+02, 1.53846e-01, 5.01464e-01, 2.18153e-04
7, 122, 4.17660e-01, 1.00231e+01, 6.76915e+00, 6.76915e+00, -6.19000e+02, 1.47541e-01, 6.39609e-01, 2.18153e-04
8, 140, 4.79283e-01, 1.00228e+01, 8.18849e+00, 8.18849e+00, -6.19000e+02, 1.28571e-01, 7.44836e-01, 2.18153e-04
9, 157, 5.37481e-01, 1.00218e+01, 9.06193e+00, 9.06193e+00, -6.19000e+02, 1.08280e-01, 7.56711e-01, 2.18153e-04
10, 176, 6.02527e-01, 1.00161e+01, 1.00445e+01, 1.00445e+01, -6.19000e+02, 1.07955e-01, 7.94771e-01, 2.18153e-04
11, 191, 6.53878e-01, 1.00124e+01, 9.98996e+00, 9.98996e+00, -6.19000e+02, 7.85340e-02, 8.10213e-01, 2.18153e-04
12, 207, 7.08653e-01, 1.00064e+01, 1.09180e+01, 1.09180e+01, -6.19000e+02, 8.21256e-02, 8.14609e-01, 2.18153e-04
13, 224, 7.66852e-01, 1.00017e+01, 1.22281e+01, 1.22281e+01, -6.19000e+02, 9.82143e-02, 9.17415e-01, 2.18153e-04
14, 241, 8.25051e-01, 9.99555e+00, 1.37021e+01, 1.37021e+01, -6.19000e+02, 1.03734e-01, 8.44250e-01, 2.18153e-04
