controller=pattern horizon=1 threshold=0.1
step[s], count, density[car/km], speed[m/s], hamiltonian, xterm, sigmaterm, waiting rate, co2[kg/s], calc time, effective time
0, 1, 3.17034e-02, 1.02139e+01, 0.00000e+00, 0.00000e+00, -7.20000e+01, 1.00000e+00, 2.62472e-03, 2.05517e-04, 2.05517e-04
1, 3, 9.51101e-02, 1.01909e+01, 1.63770e-01, 1.63770e-01, -7.20000e+01, 6.66667e-01, 8.72039e-03, 2.05517e-04, 2.05517e-04
2, 5, 1.58517e-01, 1.01717e+01, 2.72950e-01, 2.72950e-01, -7.20000e+01, 4.00000e-01, 1.70356e-02, 2.05517e-04, 2.05517e-04
3, 8, 2.53627e-01, 1.01438e+01, 2.84973e-01, 2.84973e-01, -7.20000e+01, 3.75000e-01, 2.99188e-02, 2.05517e-04, 2.05517e-04
4, 10, 3.17034e-01, 1.01330e+01, 3.94152e-01, 3.94152e-01, -7.20000e+01, 2.00000e-01, 4.00064e-02, 2.05517e-04, 2.05517e-04
5, 13, 4.12144e-01, 1.01212e+01, 5.57922e-01, 5.57922e-01, -7.20000e+01, 2.30769e-01, 5.56691e-02, 2.05517e-04, 2.05517e-04
6, 15, 4.75550e-01, 1.01177e+01, 6.67102e-01, 6.67102e-01, -7.20000e+01, 1.33333e-01, 7.35765e-02, 2.05517e-04, 2.05517e-04
7, 18, 5.70660e-01, 1.01037e+01, 8.30872e-01, 8.30872e-01, -7.20000e+01, 1.66667e-01, 9.39647e-02, 2.05517e-04, 2.05517e-04
8, 20, 6.34067e-01, 1.01022e+01, 1.10382e+00, 1.10382e+00, -7.20000e+01, 1.00000e-01, 9.21277e-02, 2.05517e-04, 2.05517e-04
9, 22, 6.97474e-01, 1.01006e+01, 1.21300e+00, 1.21300e+00, -7.20000e+01, 9.09091e-02, 1.06069e-01, 2.05517e-04, 2.05517e-04
10, 25, 7.92584e-01, 1.00822e+01, 1.26759e+00, 1.26759e+00, -7.20000e+01, 1.20000e-01, 1.11401e-01, 2.05517e-04, 2.05517e-04
11, 27, 8.55991e-01, 1.00698e+01, 1.21300e+00, 1.21300e+00, -7.20000e+01, 7.40741e-02, 1.00797e-01, 2.05517e-04, 2.05517e-04
12, 30, 9.51101e-01, 1.00546e+01, 1.54054e+00, 1.54054e+00, -7.20000e+01, 1.66667e-01, 1.17883e-01, 2.05517e-04, 2.05517e-04
13, 32, 1.01451e+00, 1.00544e+01, 1.59513e+00, 1.59513e+00, -7.20000e+01, 1.25000e-01, 1.07940e-01, 2.05517e-04, 2.05517e-04
14, 34, 1.07791e+00, 1.00311e+01, 2.03185e+00, 2.03185e+00, -7.20000e+01, 1.17647e-01, 1.18986e-01, 2.05517e-04, 2.05517e-04
15, 36, 1.14132e+00, 1.00264e+01, 2.14103e+00, 2.14103e+00, -7.20000e+01, 1.38889e-01, 1.47469e-01, 2.05517e-04, 2.05517e-04
16, 39, 1.23643e+00, 1.00219e+01, 2.52316e+00, 2.52316e+00, -7.20000e+01, 2.05128e-01, 1.28637e-01, 2.05517e-04, 2.05517e-04
17, 40, 1.26813e+00, 1.00280e+01, 2.46857e+00, 2.46857e+00, -7.20000e+01, 1.50000e-01, 1.56678e-01, 2.05517e-04, 2.05517e-04
18, 43, 1.36324e+00, 1.00003e+01, 2.46857e+00, 2.46857e+00, -7.20000e+01, 2.09302e-01, 1.51647e-01, 2.05517e-04, 2.05517e-04
19, 47, 1.49006e+00, 9.95385e+00, 2.46857e+00, 2.46857e+00, -7.20000e+01, 2.34043e-01, 1.17913e-01, 2.05517e-04, 2.05517e-04
20, 49, 1.55346e+00, 9.94769e+00, 2.79611e+00, 2.79611e+00, -7.20000e+01, 1.83673e-01, 1.44017e-01, 2.05517e-04, 2.05517e-04
21, 51, 1.61687e+00, 9.90848e+00, 2.78409e+00, 2.78409e+00, -7.20000e+01, 2.15686e-01, 1.40150e-01, 2.05517e-04, 2.05517e-04
22, 53, 1.68028e+00, 9.89602e+00, 3.16622e+00, 3.16622e+00, -7.20000e+01, 2.45283e-01, 1.46174e-01, 2.05517e-04, 2.05517e-04
23, 55, 1.74368e+00, 9.88267e+00, 3.43916e+00, 3.43916e+00, -7.20000e+01, 2.90909e-01, 1.55660e-01, 2.05517e-04, 2.05517e-04
24, 58, 1.83879e+00, 9.86177e+00, 3.71211e+00, 3.71211e+00, -7.20000e+01, 3.44828e-01, 1.55443e-01, 2.05517e-04, 2.05517e-04
25, 59, 1.87050e+00, 9.84299e+00, 4.09424e+00, 4.09424e+00, -7.20000e+01, 3.22034e-01, 1.58971e-01, 2.05517e-04, 2.05517e-04
26, 62, 1.96561e+00, 9.82614e+00, 4.20342e+00, 4.20342e+00, -7.20000e+01, 3.87097e-01, 1.65630e-01, 2.05517e-04, 2.05517e-04
27, 64, 2.02901e+00, 9.81743e+00, 3.98506e+00, 3.98506e+00, -7.20000e+01, 3.59375e-01, 1.73163e-01, 2.05517e-04, 2.05517e-04
28, 67, 2.12412e+00, 9.81434e+00, 4.25801e+00, 4.25801e+00, -7.20000e+01, 3.88060e-01, 1.73618e-01, 2.05517e-04, 2.05517e-04
29, 69, 2.18753e+00, 9.80354e+00, 5.13145e+00, 5.13145e+00, -7.20000e+01, 3.62319e-01, 1.82309e-01, 2.05517e-04, 2.05517e-04
30, 71, 2.25094e+00, 9.77425e+00, 5.67735e+00, 5.67735e+00, -7.20000e+01, 4.08451e-01, 1.82993e-01, 2.05517e-04, 2.05517e-04
31, 73, 2.31435e+00, 9.75842e+00, 5.84112e+00, 5.84112e+00, -7.20000e+01, 3.83562e-01, 2.18914e-01, 2.05517e-04, 2.05517e-04
32, 76, 2.40946e+00, 9.74449e+00, 5.24063e+00, 5.24063e+00, -7.20000e+01, 4.07895e-01, 2.17921e-01, 2.05517e-04, 2.05517e-04
33, 78, 2.47286e+00, 9.72622e+00, 4.96768e+00, 4.96768e+00, -7.20000e+01, 4.10256e-01, 2.16986e-01, 2.05517e-04, 2.05517e-04
34, 80, 2.53627e+00, 9.69909e+00, 5.45899e+00, 5.45899e+00, -7.20000e+01, 4.25000e-01, 2.21712e-01, 2.05517e-04, 2.05517e-04
35, 83, 2.63138e+00, 9.68382e+00, 5.62276e+00, 5.62276e+00, -7.20000e+01, 4.21687e-01, 2.47892e-01, 2.05517e-04, 2.05517e-04
36, 84, 2.66308e+00, 9.66749e+00, 5.78653e+00, 5.78653e+00, -7.20000e+01, 4.40476e-01, 2.11965e-01, 2.05517e-04, 2.05517e-04
37, 87, 2.75819e+00, 9.65422e+00, 5.84112e+00, 5.84112e+00, -7.20000e+01, 4.71264e-01, 2.26549e-01, 2.05517e-04, 2.05517e-04
38, 89, 2.82160e+00, 9.63803e+00, 5.34981e+00, 5.34981e+00, -7.20000e+01, 4.49438e-01, 2.42071e-01, 2.05517e-04, 2.05517e-04
39, 90, 2.85330e+00, 9.63141e+00, 5.89571e+00, 5.89571e+00, -7.20000e+01, 4.88889e-01, 2.18652e-01, 2.05517e-04, 2.05517e-04
40, 93, 2.94841e+00, 9.62639e+00, 6.27784e+00, 6.27784e+00, -7.20000e+01, 5.05376e-01, 2.22692e-01, 2.05517e-04, 2.05517e-04
41, 95, 3.01182e+00, 9.62789e+00, 8.29767e+00, 8.29767e+00, -7.20000e+01, 5.05263e-01, 2.66783e-01, 2.05517e-04, 2.05517e-04
42, 96, 3.04352e+00, 9.64205e+00, 9.17111e+00, 9.17111e+00, -7.20000e+01, 4.89583e-01, 2.79706e-01, 2.05517e-04, 2.05517e-04
43, 96, 3.04352e+00, 9.67041e+00, 9.93537e+00, 9.93537e+00, -7.20000e+01, 5.20833e-01, 2.68146e-01, 2.05517e-04, 2.05517e-04
44, 96, 3.04352e+00, 9.66551e+00, 1.04379e+01, 1.04379e+01, -7.20000e+01, 5.31250e-01, 2.89809e-01, 2.05517e-04, 2.05517e-04
45, 98, 3.10693e+00, 9.66481e+00, 1.04379e+01, 1.04379e+01, -7.20000e+01, 5.30612e-01, 2.87229e-01, 2.05517e-04, 2.05517e-04
46, 101, 3.20204e+00, 9.65444e+00, 1.08200e+01, 1.08200e+01, -7.20000e+01, 5.24752e-01, 2.79304e-01, 2.05517e-04, 2.05517e-04
47, 103, 3.26545e+00, 9.63237e+00, 1.10384e+01, 1.10384e+01, -7.20000e+01, 5.24272e-01, 2.69413e-01, 2.05517e-04, 2.05517e-04
48, 107, 3.39226e+00, 9.59822e+00, 1.19664e+01, 1.19664e+01, -7.20000e+01, 5.42056e-01, 2.64565e-01, 2.05517e-04, 2.05517e-04
49, 109, 3.45567e+00, 9.57722e+00, 1.24577e+01, 1.24577e+01, -7.20000e+01, 5.22936e-01, 2.82978e-01, 2.05517e-04, 2.05517e-04
50, 110, 3.48737e+00, 9.55350e+00, 1.25669e+01, 1.25669e+01, -7.20000e+01, 5.36364e-01, 2.79347e-01, 2.05517e-04, 2.05517e-04
51, 113, 3.58248e+00, 9.51890e+00, 1.27307e+01, 1.27307e+01, -7.20000e+01, 5.75221e-01, 2.82027e-01, 2.05517e-04, 2.05517e-04
52, 115, 3.64589e+00, 9.50982e+00, 1.26215e+01, 1.26215e+01, -7.20000e+01, 6.00000e-01, 3.10383e-01, 2.05517e-04, 2.05517e-04
53, 118, 3.74100e+00, 9.51141e+00, 1.32766e+01, 1.32766e+01, -7.20000e+01, 6.10169e-01, 3.06582e-01, 2.05517e-04, 2.05517e-04
54, 120, 3.80440e+00, 9.53082e+00, 1.46959e+01, 1.46959e+01, -7.20000e+01, 6.25000e-01, 3.10839e-01, 2.05517e-04, 2.05517e-04
55, 123, 3.89951e+00, 9.50683e+00, 1.51872e+01, 1.51872e+01, -7.20000e+01, 6.58537e-01, 2.64380e-01, 2.05517e-04, 2.05517e-04
56, 125, 3.96292e+00, 9.50736e+00, 1.54056e+01, 1.54056e+01, -7.20000e+01, 6.72000e-01, 2.83969e-01, 2.05517e-04, 2.05517e-04
