controller=global horizon=1 threshold=0.1
step[s], count, density[car/km], speed[m/s], hamiltonian, xterm, sigmaterm, waiting rate, co2[kg/s]
46, 198, 2.50720e+00, 9.53492e+00, 3.22462e+00, 3.22462e+00, -1.40000e+01, 3.93939e-01, 5.02457e-01
47, 202, 2.55785e+00, 9.52805e+00, 3.48829e+00, 3.48829e+00, -1.40000e+01, 3.91089e-01, 4.73774e-01
48, 206, 2.60850e+00, 9.50179e+00, 3.46506e+00, 3.46506e+00, -1.40000e+01, 4.02913e-01, 5.07684e-01
49, 211, 2.67182e+00, 9.47748e+00, 3.44184e+00, 3.44184e+00, -1.40000e+01, 4.07583e-01, 4.99205e-01
50, 215, 2.72247e+00, 9.47397e+00, 3.66247e+00, 3.66247e+00, -1.40000e+01, 4.09302e-01, 5.61711e-01
51, 217, 2.74779e+00, 9.44402e+00, 3.67408e+00, 3.67408e+00, -1.40000e+01, 4.28571e-01, 5.52931e-01
52, 221, 2.79844e+00, 9.44962e+00, 3.73214e+00, 3.73214e+00, -1.40000e+01, 4.20814e-01, 5.80113e-01
53, 226, 2.86176e+00, 9.45425e+00, 4.49417e+00, 4.49417e+00, -1.40000e+01, 4.33628e-01, 5.83974e-01
54, 229, 2.89974e+00, 9.45307e+00, 4.91220e+00, 4.91220e+00, -1.40000e+01, 4.41048e-01, 6.08833e-01
55, 232, 2.93773e+00, 9.44909e+00, 4.91220e+00, 4.91220e+00, -1.40000e+01, 4.52586e-01, 6.01681e-01
56, 235, 2.97572e+00, 9.46009e+00, 5.28378e+00, 5.28378e+00, -1.40000e+01, 4.42553e-01, 5.72799e-01
57, 238, 3.01371e+00, 9.45826e+00, 5.45796e+00, 5.45796e+00, -1.40000e+01, 4.49580e-01, 6.62253e-01
58, 244, 3.08968e+00, 9.43727e+00, 5.95727e+00, 5.95727e+00, -1.40000e+01, 4.54918e-01, 6.73156e-01
59, 248, 3.14033e+00, 9.41759e+00, 6.10823e+00, 6.10823e+00, -1.40000e+01, 4.63710e-01, 6.01060e-01
60, 250, 3.16566e+00, 9.42810e+00, 0.00000e+00, 0.00000e+00, 3.80000e+01, 4.60000e-01, 6.32324e-01
61, 255, 3.22897e+00, 9.42899e+00, 6.79333e+00, 6.79333e+00, 3.80000e+01, 4.70588e-01, 6.37755e-01
62, 260, 3.29229e+00, 9.40692e+00, 7.09524e+00, 7.09524e+00, 3.80000e+01, 4.76923e-01, 6.40563e-01
63, 263, 3.33027e+00, 9.38235e+00, 7.15330e+00, 7.15330e+00, 3.80000e+01, 4.75285e-01, 6.50178e-01
64, 268, 3.39359e+00, 9.34764e+00, 7.18814e+00, 7.18814e+00, 3.80000e+01, 4.77612e-01, 6.73671e-01
65, 272, 3.44424e+00, 9.32958e+00, 7.24620e+00, 7.24620e+00, 3.80000e+01, 4.85294e-01, 6.82365e-01
66, 276, 3.49489e+00, 9.28000e+00, 7.35070e+00, 7.35070e+00, 3.80000e+01, 5.00000e-01, 6.41002e-01
67, 281, 3.55820e+00, 9.12757e+00, 3.33706e+00, 3.33706e+00, 3.80000e+01, 2.27758e-01, 7.83348e-01
68, 284, 3.59619e+00, 9.22023e+00, 3.33706e+00, 3.33706e+00, 3.80000e+01, 1.12676e-01, 8.44553e-01
69, 288, 3.64684e+00, 9.27212e+00, 3.92927e+00, 3.92927e+00, 3.80000e+01, 1.07639e-01, 9.16399e-01
70, 290, 3.67217e+00, 9.34444e+00, 3.02081e+00, 3.02081e+00, 3.80000e+01, 1.00000e-01, 1.09312e+00
71, 294, 3.72282e+00, 9.46587e+00, 2.97803e+00, 2.97803e+00, 3.80000e+01, 1.02041e-01, 1.20268e+00
72, 299, 3.78613e+00, 9.58437e+00, 3.75603e+00, 3.75603e+00, 3.80000e+01, 1.03679e-01, 1.26657e+00
73, 302, 3.82412e+00, 9.66233e+00, 3.45412e+00, 3.45412e+00, 3.80000e+01, 1.02649e-01, 1.28546e+00
74, 307, 3.88743e+00, 9.73100e+00, 3.75603e+00, 3.75603e+00, 3.80000e+01, 1.14007e-01, 1.06794e+00
75, 312, 3.95074e+00, 9.72959e+00, 3.75551e+00, 3.75551e+00, 3.80000e+01, 1.12179e-01, 9.64521e-01
76, 314, 3.97607e+00, 9.74368e+00, 3.76438e+00, 3.76438e+00, 3.80000e+01, 1.14650e-01, 9.02055e-01
77, 318, 4.02672e+00, 9.76101e+00, 4.10113e+00, 4.10113e+00, 3.80000e+01, 1.19497e-01, 7.98382e-01
78, 322, 4.07737e+00, 9.74211e+00, 4.62366e+00, 4.62366e+00, 3.80000e+01, 1.14907e-01, 8.03432e-01
79, 324, 4.10270e+00, 9.74949e+00, 4.86752e+00, 4.86752e+00, 3.80000e+01, 1.08025e-01, 8.13027e-01
80, 329, 4.16601e+00, 9.74243e+00, 4.95153e+00, 4.95153e+00, 3.80000e+01, 1.18541e-01, 8.11317e-01
81, 333, 4.21666e+00, 9.72704e+00, 4.89347e+00, 4.89347e+00, 3.80000e+01, 1.17117e-01, 7.43650e-01
82, 338, 4.27997e+00, 9.69766e+00, 5.05604e+00, 5.05604e+00, 3.80000e+01, 1.24260e-01, 7.55976e-01
83, 340, 4.30530e+00, 9.67141e+00, 5.00747e+00, 5.00747e+00, 3.80000e+01, 1.35294e-01, 7.80849e-01
84, 340, 4.30530e+00, 9.61238e+00, 5.57646e+00, 5.57646e+00, 3.80000e+01, 1.41176e-01, 6.63846e-01
85, 342, 4.33062e+00, 9.54662e+00, 5.70419e+00, 5.70419e+00, 3.80000e+01, 1.54971e-01, 7.04589e-01
86, 340, 4.30530e+00, 9.52870e+00, 7.09762e+00, 7.09762e+00, 3.80000e+01, 1.73529e-01, 6.90017e-01
87, 346, 4.38127e+00, 9.45459e+00, 7.68983e+00, 7.68983e+00, 3.80000e+01, 2.22543e-01, 7.32246e-01
88, 350, 4.43192e+00, 9.43913e+00, 8.43299e+00, 8.43299e+00, 3.80000e+01, 2.54286e-01, 6.83332e-01
89, 351, 4.44459e+00, 9.42465e+00, 8.93230e+00, 8.93230e+00, 3.80000e+01, 2.73504e-01, 6.50507e-01
90, 354, 4.48257e+00, 9.41616e+00, 9.74514e+00, 9.74514e+00, 3.80000e+01, 3.05085e-01, 7.00684e-01
91, 358, 4.53322e+00, 9.38810e+00, 1.01632e+01, 1.01632e+01, 3.80000e+01, 3.18436e-01, 7.50757e-01
92, 362, 4.58388e+00, 9.36614e+00, 1.06973e+01, 1.06973e+01, 3.80000e+01, 3.28729e-01, 7.94051e-01
93, 365, 4.62186e+00, 9.35119e+00, 1.07786e+01, 1.07786e+01, 3.80000e+01, 3.50685e-01, 7.86365e-01
94, 368, 4.65985e+00, 9.35643e+00, 1.07670e+01, 1.07670e+01, 3.80000e+01, 3.64130e-01, 8.10561e-01
95, 372, 4.71050e+00, 9.34784e+00, 1.07205e+01, 1.07205e+01, 3.80000e+01, 3.79032e-01, 8.48713e-01
96, 374, 4.73583e+00, 9.34627e+00, 1.11037e+01, 1.11037e+01, 3.80000e+01, 3.95722e-01, 8.45305e-01
97, 376, 4.76115e+00, 9.34140e+00, 1.14985e+01, 1.14985e+01, 3.80000e+01, 4.04255e-01, 8.36325e-01
98, 379, 4.79914e+00, 9.31864e+00, 1.17308e+01, 1.17308e+01, 3.80000e+01, 4.19525e-01, 7.87476e-01
99, 383, 4.84979e+00, 9.28123e+00, 1.19746e+01, 1.19746e+01, 3.80000e+01, 4.25587e-01, 8.41580e-01
100, 387, 4.90044e+00, 9.24263e+00, 1.22765e+01, 1.22765e+01, 3.80000e+01, 4.34109e-01, 8.40197e-01
101, 391, 4.95109e+00, 9.23253e+00, 1.27642e+01, 1.27642e+01, 3.80000e+01, 4.39898e-01, 9.19015e-01
102, 397, 5.02707e+00, 9.22842e+00, 1.32635e+01, 1.32635e+01, 3.80000e+01, 4.63476e-01, 9.10863e-01
103, 400, 5.06506e+00, 9.22575e+00, 1.38209e+01, 1.38209e+01, 3.80000e+01, 4.62500e-01, 9.30593e-01
104, 404, 5.11571e+00, 9.23097e+00, 1.41344e+01, 1.41344e+01, 3.80000e+01, 4.75248e-01, 9.54026e-01
105, 408, 5.16636e+00, 9.21114e+00, 1.39603e+01, 1.39603e+01, 3.80000e+01, 4.90196e-01, 9.45934e-01
106, 410, 5.19168e+00, 9.21359e+00, 1.43435e+01, 1.43435e+01, 3.80000e+01, 5.00000e-01, 9.84847e-01
107, 412, 5.21701e+00, 9.21308e+00, 1.50634e+01, 1.50634e+01, 3.80000e+01, 5.19417e-01, 9.95129e-01
108, 417, 5.28032e+00, 9.20020e+00, 1.58414e+01, 1.58414e+01, 3.80000e+01, 5.22782e-01, 1.00504e+00
109, 419, 5.30565e+00, 9.20180e+00, 1.70026e+01, 1.70026e+01, 3.80000e+01, 5.29833e-01, 9.96630e-01
110, 425, 5.38162e+00, 9.19784e+00, 1.78154e+01, 1.78154e+01, 3.80000e+01, 5.38824e-01, 1.01677e+00
111, 427, 5.40695e+00, 9.17564e+00, 1.85907e+01, 1.85907e+01, 3.80000e+01, 5.40984e-01, 1.05147e+00
112, 428, 5.41961e+00, 9.16855e+00, 1.87184e+01, 1.87184e+01, 3.80000e+01, 5.51402e-01, 1.02411e+00
113, 430, 5.44493e+00, 9.16447e+00, 1.94267e+01, 1.94267e+01, 3.80000e+01, 5.58140e-01, 1.07005e+00
114, 435, 5.50825e+00, 9.16936e+00, 1.97170e+01, 1.97170e+01, 3.80000e+01, 5.58621e-01, 1.01817e+00
115, 439, 5.55890e+00, 9.17182e+00, 1.98564e+01, 1.98564e+01, 3.80000e+01, 5.62642e-01, 1.06326e+00
116, 441, 5.58422e+00, 9.15515e+00, 2.00770e+01, 2.00770e+01, 3.80000e+01, 5.64626e-01, 1.02493e+00
117, 442, 5.59689e+00, 9.15256e+00, 2.02280e+01, 2.02280e+01, 3.80000e+01, 5.79186e-01, 1.08105e+00
118, 448, 5.67286e+00, 9.15001e+00, 2.09131e+01, 2.09131e+01, 3.80000e+01, 5.93750e-01, 1.08040e+00
119, 452, 5.72351e+00, 9.12662e+00, 2.13079e+01, 2.13079e+01, 3.80000e+01, 5.88496e-01, 1.08018e+00
120, 456, 5.77416e+00, 9.12137e+00, 0.00000e+00, 0.00000e+00, 3.20000e+01, 5.94298e-01, 1.10516e+00
121, 459, 5.81215e+00, 9.12207e+00, 2.25387e+01, 2.25387e+01, 3.20000e+01, 5.96950e-01, 1.13872e+00
122, 463, 5.86280e+00, 9.10760e+00, 2.27013e+01, 2.27013e+01, 3.20000e+01, 6.09071e-01, 1.11388e+00
123, 468, 5.92612e+00, 9.10874e+00, 2.41180e+01, 2.41180e+01, 3.20000e+01, 6.11111e-01, 1.15525e+00
124, 473, 5.98943e+00, 9.08853e+00, 2.41644e+01, 2.41644e+01, 3.20000e+01, 6.17336e-01, 1.08535e+00
125, 477, 6.04008e+00, 9.06651e+00, 2.42689e+01, 2.42689e+01, 3.20000e+01, 6.26834e-01, 1.17417e+00
126, 478, 6.05274e+00, 9.05177e+00, 2.41992e+01, 2.41992e+01, 3.20000e+01, 6.42259e-01, 1.16297e+00
127, 483, 6.11605e+00, 8.57305e+00, 1.43407e+01, 1.43407e+01, 3.20000e+01, 4.40994e-01, 1.19753e+00
128, 487, 6.16671e+00, 8.68967e+00, 1.43523e+01, 1.43523e+01, 3.20000e+01, 2.99795e-01, 1.33727e+00
129, 489, 6.19203e+00, 8.80318e+00, 1.42594e+01, 1.42594e+01, 3.20000e+01, 2.18814e-01, 1.42538e+00
130, 490, 6.20469e+00, 8.88998e+00, 1.01969e+01, 1.01969e+01, 3.20000e+01, 1.83673e-01, 1.61245e+00
131, 495, 6.26801e+00, 8.99221e+00, 9.29113e+00, 9.29113e+00, 3.20000e+01, 1.75758e-01, 1.84436e+00
132, 496, 6.28067e+00, 9.23059e+00, 8.74537e+00, 8.74537e+00, 3.20000e+01, 1.67339e-01, 1.98573e+00
133, 498, 6.30599e+00, 9.28127e+00, 7.13131e+00, 7.13131e+00, 3.20000e+01, 1.60643e-01, 1.98607e+00
134, 502, 6.35664e+00, 9.39963e+00, 7.95576e+00, 7.95576e+00, 3.20000e+01, 1.67331e-01, 1.85954e+00
135, 505, 6.39463e+00, 9.39773e+00, 6.69006e+00, 6.69006e+00, 3.20000e+01, 1.66337e-01, 1.56669e+00
136, 510, 6.45795e+00, 9.46546e+00, 7.54934e+00, 7.54934e+00, 3.20000e+01, 1.70588e-01, 1.51579e+00
137, 510, 6.45795e+00, 9.47735e+00, 7.47967e+00, 7.47967e+00, 3.20000e+01, 1.66667e-01, 1.38317e+00
138, 513, 6.49593e+00, 9.51233e+00, 8.28142e+00, 8.28142e+00, 3.20000e+01, 1.77388e-01, 1.36612e+00
139, 517, 6.54658e+00, 9.50594e+00, 7.48293e+00, 7.48293e+00, 3.20000e+01, 1.83752e-01, 1.35292e+00
140, 520, 6.58457e+00, 9.52939e+00, 7.80807e+00, 7.80807e+00, 3.20000e+01, 1.84615e-01, 1.38646e+00
141, 527, 6.67321e+00, 9.51448e+00, 7.87774e+00, 7.87774e+00, 3.20000e+01, 1.85958e-01, 1.16027e+00
142, 530, 6.71120e+00, 9.51937e+00, 8.35383e+00, 8.35383e+00, 3.20000e+01, 1.81132e-01, 1.29405e+00
143, 530, 6.71120e+00, 9.48014e+00, 8.30738e+00, 8.30738e+00, 3.20000e+01, 1.90566e-01, 1.11699e+00
144, 532, 6.73652e+00, 9.46247e+00, 9.00409e+00, 9.00409e+00, 3.20000e+01, 1.95489e-01, 1.12121e+00
145, 535, 6.77451e+00, 9.41629e+00, 9.28278e+00, 9.28278e+00, 3.20000e+01, 2.07477e-01, 1.13057e+00
146, 535, 6.77451e+00, 9.39067e+00, 8.99248e+00, 8.99248e+00, 3.20000e+01, 2.09346e-01, 1.15315e+00
147, 537, 6.79984e+00, 9.33034e+00, 9.68920e+00, 9.68920e+00, 3.20000e+01, 2.27188e-01, 1.17775e+00
148, 541, 6.85049e+00, 9.29253e+00, 9.64380e+00, 9.64380e+00, 3.20000e+01, 2.64325e-01, 1.15092e+00
149, 543, 6.87581e+00, 9.26842e+00, 1.01356e+01, 1.01356e+01, 3.20000e+01, 2.83610e-01, 1.09126e+00
150, 549, 6.95179e+00, 9.24835e+00, 1.05082e+01, 1.05082e+01, 3.20000e+01, 3.09654e-01, 1.09618e+00
151, 554, 7.01510e+00, 9.24435e+00, 1.02063e+01, 1.02063e+01, 3.20000e+01, 3.32130e-01, 1.18323e+00
