controller=local horizon=1 threshold=0.0
step[s], count, density[car/km], speed[m/s], hamiltonian, xterm, sigmaterm, waiting rate, co2[kg/s]
0, 1, 2.32707e-02, 1.01671e+01, 0.00000e+00, 0.00000e+00, -9.40000e+01, 1.00000e+00, 2.62472e-03
1, 6, 1.39624e-01, 1.01246e+01, 4.36719e-01, 4.36719e-01, -9.40000e+01, 8.33333e-01, 1.60730e-02
2, 11, 2.55978e-01, 1.00878e+01, 5.57922e-01, 5.57922e-01, -9.40000e+01, 4.54545e-01, 3.32726e-02
3, 15, 3.49061e-01, 1.00663e+01, 9.40052e-01, 9.40052e-01, -9.40000e+01, 2.66667e-01, 5.22347e-02
4, 19, 4.42143e-01, 1.00496e+01, 1.04923e+00, 1.04923e+00, -9.40000e+01, 2.10526e-01, 7.59646e-02
5, 24, 5.58497e-01, 1.00301e+01, 1.26759e+00, 1.26759e+00, -9.40000e+01, 2.08333e-01, 1.07666e-01
6, 30, 6.98121e-01, 1.00150e+01, 1.59513e+00, 1.59513e+00, -9.40000e+01, 2.00000e-01, 1.48661e-01
7, 36, 8.37745e-01, 1.00064e+01, 2.14103e+00, 2.14103e+00, -9.40000e+01, 1.66667e-01, 1.94614e-01
8, 40, 9.30828e-01, 1.00112e+01, 2.35939e+00, 2.35939e+00, -9.40000e+01, 1.00000e-01, 2.19976e-01
9, 44, 1.02391e+00, 1.00124e+01, 2.35939e+00, 2.35939e+00, -9.40000e+01, 9.09091e-02, 2.13668e-01
10, 49, 1.14026e+00, 1.00016e+01, 2.52316e+00, 2.52316e+00, -9.40000e+01, 1.02041e-01, 2.08701e-01
11, 55, 1.27989e+00, 9.98093e+00, 3.06906e+00, 3.06906e+00, -9.40000e+01, 1.09091e-01, 2.33460e-01
12, 61, 1.41951e+00, 9.96100e+00, 3.45119e+00, 3.45119e+00, -9.40000e+01, 9.83607e-02, 2.29900e-01
13, 63, 1.46605e+00, 9.96576e+00, 3.39660e+00, 3.39660e+00, -9.40000e+01, 6.34921e-02, 2.58523e-01
14, 68, 1.58241e+00, 9.94383e+00, 3.77873e+00, 3.77873e+00, -9.40000e+01, 1.17647e-01, 2.48334e-01
15, 73, 1.69876e+00, 9.91768e+00, 4.37922e+00, 4.37922e+00, -9.40000e+01, 1.09589e-01, 2.48166e-01
16, 79, 1.83839e+00, 9.88435e+00, 4.87053e+00, 4.87053e+00, -9.40000e+01, 1.64557e-01, 2.57299e-01
17, 84, 1.95474e+00, 9.86819e+00, 5.52560e+00, 5.52560e+00, -9.40000e+01, 2.02381e-01, 2.55929e-01
18, 89, 2.07109e+00, 9.84338e+00, 6.34445e+00, 6.34445e+00, -9.40000e+01, 1.91011e-01, 2.91776e-01
19, 94, 2.18745e+00, 9.82615e+00, 7.20587e+00, 7.20587e+00, -9.40000e+01, 2.12766e-01, 2.64568e-01
20, 99, 2.30380e+00, 9.80347e+00, 6.72658e+00, 6.72658e+00, -9.40000e+01, 2.22222e-01, 2.68028e-01
21, 104, 2.42015e+00, 9.77488e+00, 6.50822e+00, 6.50822e+00, -9.40000e+01, 2.40385e-01, 2.92426e-01
22, 108, 2.51324e+00, 9.75422e+00, 6.39904e+00, 6.39904e+00, -9.40000e+01, 2.59259e-01, 3.50780e-01
23, 112, 2.60632e+00, 9.75301e+00, 5.74396e+00, 5.74396e+00, -9.40000e+01, 2.76786e-01, 3.44447e-01
24, 118, 2.74594e+00, 9.73340e+00, 5.63478e+00, 5.63478e+00, -9.40000e+01, 3.22034e-01, 3.54903e-01
25, 123, 2.86230e+00, 9.73364e+00, 6.78117e+00, 6.78117e+00, -9.40000e+01, 3.17073e-01, 3.54693e-01
26, 127, 2.95538e+00, 9.71934e+00, 6.94494e+00, 6.94494e+00, -9.40000e+01, 3.07087e-01, 3.41553e-01
27, 128, 2.97865e+00, 9.72339e+00, 7.32707e+00, 7.32707e+00, -9.40000e+01, 3.12500e-01, 3.55877e-01
28, 136, 3.16482e+00, 9.71674e+00, 8.36428e+00, 8.36428e+00, -9.40000e+01, 3.89706e-01, 3.53297e-01
29, 140, 3.25790e+00, 9.69847e+00, 8.41887e+00, 8.41887e+00, -9.40000e+01, 3.57143e-01, 3.95050e-01
30, 144, 3.35098e+00, 9.66398e+00, 8.91018e+00, 8.91018e+00, -9.40000e+01, 3.61111e-01, 3.91405e-01
31, 149, 3.46734e+00, 9.64388e+00, 8.37630e+00, 8.37630e+00, -9.40000e+01, 3.69128e-01, 3.89026e-01
32, 155, 3.60696e+00, 9.63083e+00, 9.14056e+00, 9.14056e+00, -9.40000e+01, 3.87097e-01, 4.19895e-01
33, 157, 3.65350e+00, 9.61011e+00, 9.14056e+00, 9.14056e+00, -9.40000e+01, 3.82166e-01, 4.24244e-01
34, 161, 3.74658e+00, 9.58780e+00, 9.08597e+00, 9.08597e+00, -9.40000e+01, 4.03727e-01, 4.76432e-01
35, 169, 3.93275e+00, 9.58489e+00, 1.08874e+01, 1.08874e+01, -9.40000e+01, 4.02367e-01, 4.75263e-01
36, 175, 4.07237e+00, 9.56216e+00, 1.34478e+01, 1.34478e+01, -9.40000e+01, 3.88571e-01, 4.85181e-01
37, 180, 4.18873e+00, 9.57467e+00, 1.59044e+01, 1.59044e+01, -9.40000e+01, 3.83333e-01, 5.51214e-01
