controller=local horizon=1 threshold=0.0
step[s], count, density[car/km], speed[m/s], hamiltonian, xterm, sigmaterm, waiting rate, co2[kg/s]
0, 1, 3.77155e-02, 1.01908e+01, 0.00000e+00, 0.00000e+00, -5.80000e+01, 1.00000e+00, 2.62472e-03
1, 3, 1.13146e-01, 1.01634e+01, 1.63770e-01, 1.63770e-01, -5.80000e+01, 6.66667e-01, 8.26180e-03
2, 6, 2.26293e-01, 1.01272e+01, 3.27540e-01, 3.27540e-01, -5.80000e+01, 5.00000e-01, 1.97745e-02
3, 9, 3.39439e-01, 1.00944e+01, 4.91309e-01, 4.91309e-01, -5.80000e+01, 3.33333e-01, 2.98053e-02
4, 12, 4.52586e-01, 1.00684e+01, 6.55079e-01, 6.55079e-01, -5.80000e+01, 2.50000e-01, 4.56300e-02
5, 15, 5.65732e-01, 1.00525e+01, 9.82619e-01, 9.82619e-01, -5.80000e+01, 2.00000e-01, 7.07861e-02
6, 17, 6.41163e-01, 1.00549e+01, 1.09180e+00, 1.09180e+00, -5.80000e+01, 1.17647e-01, 8.80078e-02
7, 19, 7.16594e-01, 1.00605e+01, 1.20098e+00, 1.20098e+00, -5.80000e+01, 1.05263e-01, 1.08093e-01
8, 22, 8.29740e-01, 1.00513e+01, 1.31016e+00, 1.31016e+00, -5.80000e+01, 1.36364e-01, 1.16587e-01
9, 25, 9.42887e-01, 1.00401e+01, 1.47393e+00, 1.47393e+00, -5.80000e+01, 1.20000e-01, 1.22763e-01
10, 28, 1.05603e+00, 1.00262e+01, 1.80147e+00, 1.80147e+00, -5.80000e+01, 1.07143e-01, 1.22635e-01
11, 31, 1.16918e+00, 1.00247e+01, 2.01983e+00, 2.01983e+00, -5.80000e+01, 9.67742e-02, 1.23473e-01
12, 31, 1.16918e+00, 1.00310e+01, 1.74688e+00, 1.74688e+00, -5.80000e+01, 3.22581e-02, 1.16764e-01
13, 35, 1.32004e+00, 1.00060e+01, 2.29278e+00, 2.29278e+00, -5.80000e+01, 1.14286e-01, 1.46279e-01
14, 36, 1.35776e+00, 9.99997e+00, 2.51114e+00, 2.51114e+00, -5.80000e+01, 8.33333e-02, 1.37834e-01
15, 39, 1.47090e+00, 9.99803e+00, 2.51114e+00, 2.51114e+00, -5.80000e+01, 1.02564e-01, 1.41603e-01
16, 41, 1.54633e+00, 9.99982e+00, 3.05704e+00, 3.05704e+00, -5.80000e+01, 1.21951e-01, 1.40899e-01
17, 43, 1.62177e+00, 9.97466e+00, 3.32999e+00, 3.32999e+00, -5.80000e+01, 1.39535e-01, 1.61847e-01
18, 47, 1.77263e+00, 9.93302e+00, 3.27540e+00, 3.27540e+00, -5.80000e+01, 1.70213e-01, 1.50134e-01
19, 49, 1.84806e+00, 9.91621e+00, 2.89327e+00, 2.89327e+00, -5.80000e+01, 1.22449e-01, 1.61042e-01
20, 52, 1.96120e+00, 9.89284e+00, 3.27540e+00, 3.27540e+00, -5.80000e+01, 1.92308e-01, 1.72088e-01
21, 54, 2.03664e+00, 9.87244e+00, 3.38458e+00, 3.38458e+00, -5.80000e+01, 1.85185e-01, 1.58573e-01
22, 58, 2.18750e+00, 9.85543e+00, 3.43916e+00, 3.43916e+00, -5.80000e+01, 2.41379e-01, 1.84978e-01
23, 61, 2.30064e+00, 9.83823e+00, 3.82129e+00, 3.82129e+00, -5.80000e+01, 2.45902e-01, 1.88605e-01
24, 63, 2.37607e+00, 9.81783e+00, 3.82129e+00, 3.82129e+00, -5.80000e+01, 2.53968e-01, 1.77953e-01
25, 65, 2.45151e+00, 9.78311e+00, 3.82129e+00, 3.82129e+00, -5.80000e+01, 2.92308e-01, 1.58669e-01
26, 68, 2.56465e+00, 9.77194e+00, 4.42178e+00, 4.42178e+00, -5.80000e+01, 2.94118e-01, 1.85249e-01
27, 70, 2.64008e+00, 9.74453e+00, 4.14883e+00, 4.14883e+00, -5.80000e+01, 3.28571e-01, 1.89337e-01
28, 71, 2.67780e+00, 9.74477e+00, 4.69473e+00, 4.69473e+00, -5.80000e+01, 3.09859e-01, 1.74313e-01
29, 76, 2.86638e+00, 9.70440e+00, 5.51358e+00, 5.51358e+00, -5.80000e+01, 3.55263e-01, 2.46597e-01
30, 79, 2.97952e+00, 9.66693e+00, 5.78653e+00, 5.78653e+00, -5.80000e+01, 3.29114e-01, 2.37618e-01
31, 81, 3.05495e+00, 9.65124e+00, 5.34981e+00, 5.34981e+00, -5.80000e+01, 3.08642e-01, 2.11971e-01
32, 82, 3.09267e+00, 9.65388e+00, 4.74932e+00, 4.74932e+00, -5.80000e+01, 3.29268e-01, 2.37818e-01
33, 85, 3.20581e+00, 9.64791e+00, 4.80391e+00, 4.80391e+00, -5.80000e+01, 3.76471e-01, 2.40696e-01
34, 87, 3.28125e+00, 9.60540e+00, 4.85850e+00, 4.85850e+00, -5.80000e+01, 3.90805e-01, 2.42727e-01
35, 90, 3.39439e+00, 9.59131e+00, 4.74932e+00, 4.74932e+00, -5.80000e+01, 3.77778e-01, 2.67767e-01
36, 90, 3.39439e+00, 9.60615e+00, 4.64014e+00, 4.64014e+00, -5.80000e+01, 3.77778e-01, 2.53210e-01
37, 93, 3.50754e+00, 9.58651e+00, 5.73194e+00, 5.73194e+00, -5.80000e+01, 3.76344e-01, 2.56398e-01
38, 93, 3.50754e+00, 9.59413e+00, 5.73194e+00, 5.73194e+00, -5.80000e+01, 3.76344e-01, 2.60754e-01
39, 96, 3.62068e+00, 9.57801e+00, 5.73194e+00, 5.73194e+00, -5.80000e+01, 4.27083e-01, 2.54924e-01
40, 100, 3.77155e+00, 9.55862e+00, 6.22325e+00, 6.22325e+00, -5.80000e+01, 4.20000e-01, 2.87396e-01
41, 102, 3.84698e+00, 9.55156e+00, 6.06561e+00, 6.06561e+00, -5.80000e+01, 4.01961e-01, 3.01943e-01
42, 105, 3.96012e+00, 9.53724e+00, 6.39315e+00, 6.39315e+00, -5.80000e+01, 4.09524e-01, 2.82762e-01
43, 106, 3.99784e+00, 9.54175e+00, 6.93905e+00, 6.93905e+00, -5.80000e+01, 4.05660e-01, 2.89896e-01
44, 109, 4.11099e+00, 9.53450e+00, 7.70331e+00, 7.70331e+00, -5.80000e+01, 4.12844e-01, 3.23315e-01
45, 113, 4.26185e+00, 9.52801e+00, 7.53954e+00, 7.53954e+00, -5.80000e+01, 4.33628e-01, 3.30777e-01
46, 116, 4.37499e+00, 9.49841e+00, 6.66610e+00, 6.66610e+00, -5.80000e+01, 4.13793e-01, 3.13850e-01
47, 119, 4.48814e+00, 9.50479e+00, 6.69468e+00, 6.69468e+00, -5.80000e+01, 4.20168e-01, 3.31630e-01
48, 120, 4.52586e+00, 9.52709e+00, 7.97165e+00, 7.97165e+00, -5.80000e+01, 4.25000e-01, 3.37520e-01
49, 122, 4.60129e+00, 9.53188e+00, 8.08083e+00, 8.08083e+00, -5.80000e+01, 4.34426e-01, 3.20342e-01
50, 124, 4.67672e+00, 9.51289e+00, 9.39098e+00, 9.39098e+00, -5.80000e+01, 4.43548e-01, 3.41065e-01
51, 125, 4.71443e+00, 9.51954e+00, 1.00461e+01, 1.00461e+01, -5.80000e+01, 4.48000e-01, 3.27614e-01
52, 128, 4.82758e+00, 9.50235e+00, 1.24480e+01, 1.24480e+01, -5.80000e+01, 4.60938e-01, 3.39384e-01
53, 131, 4.94073e+00, 9.46934e+00, 1.25026e+01, 1.25026e+01, -5.80000e+01, 4.58015e-01, 3.56439e-01
