controller=local horizon=1 threshold=0.0
step[s], count, density[car/km], speed[m/s], hamiltonian, xterm, sigmaterm, waiting rate, co2[kg/s], calc time
0, 1, 3.42345e-03, 1.01039e+01, 0.00000e+00, 0.00000e+00, -6.19000e+02, 1.00000e+00, 2.62472e-03, 3.44992e-04
1, 20, 6.84689e-02, 1.00811e+01, 9.82619e-01, 9.82619e-01, -6.19000e+02, 9.50000e-01, 5.32016e-02, 3.44992e-04
2, 40, 1.36938e-01, 1.00604e+01, 2.07442e+00, 2.07442e+00, -6.19000e+02, 5.00000e-01, 1.22300e-01, 3.44992e-04
3, 60, 2.05407e-01, 1.00440e+01, 3.27540e+00, 3.27540e+00, -6.19000e+02, 3.33333e-01, 2.05948e-01, 3.44992e-04
4, 80, 2.73876e-01, 1.00316e+01, 4.36719e+00, 4.36719e+00, -6.19000e+02, 2.50000e-01, 3.11400e-01, 3.44992e-04
5, 100, 3.42345e-01, 1.00226e+01, 5.78653e+00, 5.78653e+00, -6.19000e+02, 2.00000e-01, 4.38651e-01, 3.44992e-04
6, 120, 4.10814e-01, 1.00146e+01, 6.76915e+00, 6.76915e+00, -6.19000e+02, 1.66667e-01, 5.74536e-01, 3.44992e-04
7, 141, 4.82706e-01, 1.00116e+01, 8.46144e+00, 8.46144e+00, -6.19000e+02, 1.48936e-01, 7.46571e-01, 3.44992e-04
8, 160, 5.47751e-01, 1.00128e+01, 9.71701e+00, 9.71701e+00, -6.19000e+02, 1.18750e-01, 8.41870e-01, 3.44992e-04
9, 180, 6.16220e-01, 1.00094e+01, 1.08088e+01, 1.08088e+01, -6.19000e+02, 1.11111e-01, 8.71681e-01, 3.44992e-04
10, 199, 6.81266e-01, 1.00053e+01, 1.10818e+01, 1.10818e+01, -6.19000e+02, 9.54774e-02, 9.63626e-01, 3.44992e-04
11, 220, 7.53158e-01, 9.99524e+00, 1.19006e+01, 1.19006e+01, -6.19000e+02, 9.54545e-02, 9.09147e-01, 3.44992e-04
12, 240, 8.21627e-01, 9.98806e+00, 1.28286e+01, 1.28286e+01, -6.19000e+02, 8.75000e-02, 9.64796e-01, 3.44992e-04
13, 261, 8.93520e-01, 9.97873e+00, 1.47393e+01, 1.47393e+01, -6.19000e+02, 1.03448e-01, 9.72216e-01, 3.44992e-04
14, 279, 9.55142e-01, 9.96858e+00, 1.56673e+01, 1.56673e+01, -6.19000e+02, 1.03943e-01, 1.04314e+00, 3.44992e-04
15, 296, 1.01334e+00, 9.96274e+00, 1.59948e+01, 1.59948e+01, -6.19000e+02, 1.18243e-01, 9.97357e-01, 3.44992e-04
16, 317, 1.08523e+00, 9.95151e+00, 1.71958e+01, 1.71958e+01, -6.19000e+02, 1.70347e-01, 1.10051e+00, 3.44992e-04
17, 335, 1.14685e+00, 9.94281e+00, 1.70321e+01, 1.70321e+01, -6.19000e+02, 1.58209e-01, 1.07419e+00, 3.44992e-04
18, 355, 1.21532e+00, 9.93024e+00, 1.80147e+01, 1.80147e+01, -6.19000e+02, 1.80282e-01, 1.04425e+00, 3.44992e-04
19, 379, 1.29749e+00, 9.91217e+00, 1.89427e+01, 1.89427e+01, -6.19000e+02, 2.00528e-01, 1.13339e+00, 3.44992e-04
20, 396, 1.35568e+00, 9.90143e+00, 2.00891e+01, 2.00891e+01, -6.19000e+02, 2.04545e-01, 1.15244e+00, 3.44992e-04
21, 412, 1.41046e+00, 9.89237e+00, 2.16176e+01, 2.16176e+01, -6.19000e+02, 2.18447e-01, 1.20161e+00, 3.44992e-04
22, 433, 1.48235e+00, 9.88079e+00, 2.36374e+01, 2.36374e+01, -6.19000e+02, 2.42494e-01, 1.30605e+00, 3.44992e-04
23, 456, 1.56109e+00, 9.86977e+00, 2.61486e+01, 2.61486e+01, -6.19000e+02, 2.52193e-01, 1.40036e+00, 3.44992e-04
24, 473, 1.61929e+00, 9.86407e+00, 2.59848e+01, 2.59848e+01, -6.19000e+02, 2.51586e-01, 1.44479e+00, 3.44992e-04
25, 493, 1.68776e+00, 9.85515e+00, 2.83322e+01, 2.83322e+01, -6.19000e+02, 2.61663e-01, 1.53710e+00, 3.44992e-04
26, 514, 1.75965e+00, 9.84842e+00, 3.00790e+01, 3.00790e+01, -6.19000e+02, 2.78210e-01, 1.55838e+00, 3.44992e-04
27, 534, 1.82812e+00, 9.83489e+00, 3.25902e+01, 3.25902e+01, -6.19000e+02, 2.77154e-01, 1.50753e+00, 3.44992e-04
28, 551, 1.88632e+00, 9.83199e+00, 3.52105e+01, 3.52105e+01, -6.19000e+02, 2.81307e-01, 1.56765e+00, 3.44992e-04
29, 570, 1.95136e+00, 9.81554e+00, 3.44462e+01, 3.44462e+01, -6.19000e+02, 2.91228e-01, 1.57395e+00, 3.44992e-04
30, 590, 2.01983e+00, 9.80061e+00, 3.51013e+01, 3.51013e+01, -6.19000e+02, 2.96610e-01, 1.72959e+00, 3.44992e-04
31, 605, 2.07119e+00, 9.79168e+00, 3.67936e+01, 3.67936e+01, -6.19000e+02, 3.05785e-01, 1.65802e+00, 3.44992e-04
32, 627, 2.14650e+00, 9.77658e+00, 3.81584e+01, 3.81584e+01, -6.19000e+02, 3.31738e-01, 1.68316e+00, 3.44992e-04
33, 649, 2.22182e+00, 9.76318e+00, 3.88134e+01, 3.88134e+01, -6.19000e+02, 3.38983e-01, 1.71480e+00, 3.44992e-04
34, 671, 2.29713e+00, 9.75214e+00, 4.24710e+01, 4.24710e+01, -6.19000e+02, 3.48733e-01, 1.73955e+00, 3.44992e-04
35, 694, 2.37587e+00, 9.73799e+00, 4.37811e+01, 4.37811e+01, -6.19000e+02, 3.55908e-01, 1.83247e+00, 3.44992e-04
36, 710, 2.43065e+00, 9.72821e+00, 4.52550e+01, 4.52550e+01, -6.19000e+02, 3.69014e-01, 1.80797e+00, 3.44992e-04
37, 730, 2.49912e+00, 9.71081e+00, 4.48729e+01, 4.48729e+01, -6.19000e+02, 3.86301e-01, 1.87279e+00, 3.44992e-04
38, 753, 2.57786e+00, 9.69666e+00, 4.66198e+01, 4.66198e+01, -6.19000e+02, 3.91766e-01, 1.99271e+00, 3.44992e-04
39, 770, 2.63605e+00, 9.69158e+00, 4.84213e+01, 4.84213e+01, -6.19000e+02, 3.92208e-01, 2.11118e+00, 3.44992e-04
40, 787, 2.69425e+00, 9.68163e+00, 5.04411e+01, 5.04411e+01, -6.19000e+02, 4.05337e-01, 2.05419e+00, 3.44992e-04
41, 808, 2.76614e+00, 9.67204e+00, 4.90217e+01, 4.90217e+01, -6.19000e+02, 4.14604e-01, 2.13200e+00, 3.44992e-04
42, 829, 2.83804e+00, 9.66638e+00, 5.06594e+01, 5.06594e+01, -6.19000e+02, 4.14958e-01, 2.21898e+00, 3.44992e-04
43, 846, 2.89624e+00, 9.66067e+00, 5.26793e+01, 5.26793e+01, -6.19000e+02, 4.12530e-01, 2.19435e+00, 3.44992e-04
44, 862, 2.95101e+00, 9.65172e+00, 5.30614e+01, 5.30614e+01, -6.19000e+02, 4.16473e-01, 2.22750e+00, 3.44992e-04
45, 888, 3.04002e+00, 9.63879e+00, 5.53542e+01, 5.53542e+01, -6.19000e+02, 4.32432e-01, 2.30701e+00, 3.44992e-04
46, 911, 3.11876e+00, 9.62339e+00, 5.71556e+01, 5.71556e+01, -6.19000e+02, 4.35785e-01, 2.31585e+00, 3.44992e-04
47, 929, 3.18038e+00, 9.61010e+00, 5.90663e+01, 5.90663e+01, -6.19000e+02, 4.33800e-01, 2.44848e+00, 3.44992e-04
48, 943, 3.22831e+00, 9.60735e+00, 6.02127e+01, 6.02127e+01, -6.19000e+02, 4.37964e-01, 2.53233e+00, 3.44992e-04
49, 961, 3.28993e+00, 9.60136e+00, 6.09224e+01, 6.09224e+01, -6.19000e+02, 4.44329e-01, 2.60299e+00, 3.44992e-04
50, 983, 3.36525e+00, 9.59681e+00, 6.55625e+01, 6.55625e+01, -6.19000e+02, 4.57782e-01, 2.56649e+00, 3.44992e-04
51, 1003, 3.43372e+00, 9.58980e+00, 6.70910e+01, 6.70910e+01, -6.19000e+02, 4.52642e-01, 2.61326e+00, 3.44992e-04
52, 1023, 3.50219e+00, 9.58092e+00, 6.69272e+01, 6.69272e+01, -6.19000e+02, 4.53568e-01, 2.67984e+00, 3.44992e-04
53, 1043, 3.57065e+00, 9.56746e+00, 6.93292e+01, 6.93292e+01, -6.19000e+02, 4.59252e-01, 2.69460e+00, 3.44992e-04
54, 1061, 3.63228e+00, 9.55711e+00, 7.22225e+01, 7.22225e+01, -6.19000e+02, 4.56173e-01, 2.63251e+00, 3.44992e-04
55, 1078, 3.69048e+00, 9.54825e+00, 7.29867e+01, 7.29867e+01, -6.19000e+02, 4.61967e-01, 2.72609e+00, 3.44992e-04
56, 1102, 3.77264e+00, 9.53216e+00, 7.43515e+01, 7.43515e+01, -6.19000e+02, 4.73684e-01, 2.85881e+00, 3.44992e-04
57, 1123, 3.84453e+00, 9.52770e+00, 7.76815e+01, 7.76815e+01, -6.19000e+02, 4.75512e-01, 2.95694e+00, 3.44992e-04
58, 1141, 3.90615e+00, 9.52539e+00, 8.05201e+01, 8.05201e+01, -6.19000e+02, 4.76775e-01, 3.04507e+00, 3.44992e-04
59, 1159, 3.96777e+00, 9.52592e+00, 8.14568e+01, 8.14568e+01, -6.19000e+02, 4.81450e-01, 3.11267e+00, 3.44992e-04
60, 1177, 4.02940e+00, 9.52298e+00, 0.00000e+00, 0.00000e+00, -3.10000e+01, 4.81733e-01, 2.98547e+00, 4.60625e-04
61, 1196, 4.09444e+00, 9.51604e+00, 8.54565e+01, 8.54565e+01, -3.10000e+01, 4.80769e-01, 3.13918e+00, 4.60625e-04
62, 1215, 4.15949e+00, 9.50148e+00, 8.44739e+01, 8.44739e+01, -3.10000e+01, 4.84774e-01, 3.14661e+00, 4.60625e-04
63, 1230, 4.21084e+00, 9.48711e+00, 8.47468e+01, 8.47468e+01, -3.10000e+01, 4.85366e-01, 3.06179e+00, 4.60625e-04
64, 1255, 4.29643e+00, 9.46207e+00, 8.57294e+01, 8.57294e+01, -3.10000e+01, 4.99602e-01, 3.09787e+00, 4.60625e-04
65, 1276, 4.36832e+00, 9.43926e+00, 8.60024e+01, 8.60024e+01, -3.10000e+01, 5.03918e-01, 3.02674e+00, 4.60625e-04
66, 1296, 4.43679e+00, 9.41414e+00, 8.67120e+01, 8.67120e+01, -3.10000e+01, 5.20833e-01, 3.14029e+00, 4.60625e-04
