controller=global horizon=1 threshold=0.1
step[s], count, density[car/km], speed[m/s], hamiltonian, xterm, sigmaterm, waiting rate, co2[kg/s]
0, 1, 5.05970e-02, 1.02064e+01, 0.00000e+00, 0.00000e+00, -1.00000e+00, 1.00000e+00, 2.62472e-03
1, 3, 1.51791e-01, 1.01700e+01, 1.63770e-01, 1.63770e-01, -1.00000e+00, 6.66667e-01, 8.96609e-03
2, 6, 3.03582e-01, 1.01197e+01, 2.18360e-01, 2.18360e-01, -1.00000e+00, 5.00000e-01, 2.01274e-02
3, 9, 4.55373e-01, 1.00788e+01, 3.82129e-01, 3.82129e-01, -1.00000e+00, 3.33333e-01, 3.41718e-02
4, 12, 6.07165e-01, 1.00446e+01, 6.55079e-01, 6.55079e-01, -1.00000e+00, 2.50000e-01, 4.81609e-02
5, 15, 7.58956e-01, 1.00194e+01, 1.14639e+00, 1.14639e+00, -1.00000e+00, 2.00000e-01, 6.68238e-02
6, 17, 8.60150e-01, 1.00218e+01, 1.25557e+00, 1.25557e+00, -1.00000e+00, 1.17647e-01, 8.52681e-02
7, 20, 1.01194e+00, 1.00133e+01, 1.31016e+00, 1.31016e+00, -1.00000e+00, 1.50000e-01, 1.15974e-01
8, 23, 1.16373e+00, 1.00101e+01, 1.58311e+00, 1.58311e+00, -1.00000e+00, 1.30435e-01, 1.33218e-01
9, 26, 1.31552e+00, 9.99550e+00, 1.80147e+00, 1.80147e+00, -1.00000e+00, 1.15385e-01, 1.21463e-01
10, 28, 1.41672e+00, 9.99386e+00, 2.01983e+00, 2.01983e+00, -1.00000e+00, 7.14286e-02, 1.26943e-01
11, 30, 1.51791e+00, 9.98127e+00, 2.29278e+00, 2.29278e+00, -1.00000e+00, 6.66667e-02, 1.24534e-01
12, 33, 1.66970e+00, 9.96176e+00, 2.34737e+00, 2.34737e+00, -1.00000e+00, 9.09091e-02, 1.26846e-01
13, 36, 1.82149e+00, 9.95384e+00, 2.12901e+00, 2.12901e+00, -1.00000e+00, 1.11111e-01, 1.29243e-01
14, 40, 2.02388e+00, 9.91894e+00, 2.40196e+00, 2.40196e+00, -1.00000e+00, 1.50000e-01, 1.35916e-01
15, 41, 2.07448e+00, 9.92182e+00, 2.07442e+00, 2.07442e+00, -1.00000e+00, 9.75610e-02, 1.30737e-01
16, 43, 2.17567e+00, 9.89717e+00, 2.40196e+00, 2.40196e+00, -1.00000e+00, 1.39535e-01, 1.34900e-01
17, 46, 2.32746e+00, 9.88430e+00, 2.83868e+00, 2.83868e+00, -1.00000e+00, 1.73913e-01, 1.64217e-01
18, 48, 2.42866e+00, 9.89099e+00, 3.05704e+00, 3.05704e+00, -1.00000e+00, 1.45833e-01, 1.78857e-01
19, 51, 2.58045e+00, 9.85863e+00, 3.05704e+00, 3.05704e+00, -1.00000e+00, 1.96078e-01, 1.74863e-01
20, 55, 2.78284e+00, 9.80982e+00, 3.66955e+00, 3.66955e+00, -1.00000e+00, 2.00000e-01, 1.82582e-01
21, 57, 2.88403e+00, 9.78589e+00, 3.45119e+00, 3.45119e+00, -1.00000e+00, 2.10526e-01, 1.59502e-01
22, 59, 2.98523e+00, 9.76139e+00, 3.83332e+00, 3.83332e+00, -1.00000e+00, 2.20339e-01, 1.47976e-01
23, 61, 3.08642e+00, 9.69527e+00, 4.21545e+00, 4.21545e+00, -1.00000e+00, 2.62295e-01, 1.65598e-01
24, 62, 3.13702e+00, 9.67242e+00, 4.27004e+00, 4.27004e+00, -1.00000e+00, 2.90323e-01, 1.62598e-01
25, 65, 3.28881e+00, 9.68208e+00, 4.59758e+00, 4.59758e+00, -1.00000e+00, 3.69231e-01, 2.12338e-01
26, 68, 3.44060e+00, 9.65851e+00, 4.92512e+00, 4.92512e+00, -1.00000e+00, 3.52941e-01, 2.06508e-01
27, 71, 3.59239e+00, 9.64892e+00, 5.41643e+00, 5.41643e+00, -1.00000e+00, 3.52113e-01, 2.35886e-01
28, 73, 3.69358e+00, 9.66464e+00, 5.36184e+00, 5.36184e+00, -1.00000e+00, 3.28767e-01, 2.17939e-01
29, 76, 3.84538e+00, 9.63042e+00, 5.79855e+00, 5.79855e+00, -1.00000e+00, 3.28947e-01, 2.18915e-01
30, 80, 4.04776e+00, 9.59191e+00, 5.79855e+00, 5.79855e+00, -1.00000e+00, 3.75000e-01, 2.25744e-01
31, 81, 4.09836e+00, 9.59782e+00, 6.45363e+00, 6.45363e+00, -1.00000e+00, 3.70370e-01, 1.95986e-01
32, 82, 4.14896e+00, 9.59369e+00, 7.54543e+00, 7.54543e+00, -1.00000e+00, 3.90244e-01, 1.95876e-01
33, 86, 4.35135e+00, 9.54268e+00, 7.70920e+00, 7.70920e+00, -1.00000e+00, 4.65116e-01, 2.24667e-01
34, 88, 4.45254e+00, 9.51268e+00, 7.70920e+00, 7.70920e+00, -1.00000e+00, 4.65909e-01, 2.06403e-01
35, 91, 4.60433e+00, 9.48351e+00, 7.72042e+00, 7.72042e+00, -1.00000e+00, 4.83516e-01, 2.30435e-01
36, 91, 4.60433e+00, 9.48722e+00, 7.65381e+00, 7.65381e+00, -1.00000e+00, 5.05495e-01, 2.48003e-01
37, 94, 4.75612e+00, 9.46879e+00, 8.25430e+00, 8.25430e+00, -1.00000e+00, 5.21277e-01, 2.32118e-01
38, 97, 4.90791e+00, 9.44388e+00, 9.40069e+00, 9.40069e+00, -1.00000e+00, 5.15464e-01, 2.38557e-01
39, 101, 5.11030e+00, 9.41503e+00, 1.12567e+01, 1.12567e+01, -1.00000e+00, 5.34653e-01, 2.60183e-01
