controller=local horizon=1 threshold=0.0
step[s], count, density[car/km], speed[m/s], hamiltonian, xterm, sigmaterm, waiting rate, co2[kg/s]
0, 1, 2.91967e-02, 1.01779e+01, 0.00000e+00, 0.00000e+00, -7.70000e+01, 1.00000e+00, 2.62472e-03
1, 1, 2.91967e-02, 1.01797e+01, 5.45899e-02, 5.45899e-02, -7.70000e+01, 0.00000e+00, 3.75850e-03
2, 2, 5.83933e-02, 1.01706e+01, 1.09180e-01, 1.09180e-01, -7.70000e+01, 5.00000e-01, 7.81871e-03
3, 3, 8.75900e-02, 1.01635e+01, 1.63770e-01, 1.63770e-01, -7.70000e+01, 3.33333e-01, 1.33138e-02
4, 4, 1.16787e-01, 1.01564e+01, 2.18360e-01, 2.18360e-01, -7.70000e+01, 2.50000e-01, 1.56030e-02
5, 5, 1.45983e-01, 1.01520e+01, 2.72950e-01, 2.72950e-01, -7.70000e+01, 2.00000e-01, 2.49996e-02
6, 6, 1.75180e-01, 1.01491e+01, 3.27540e-01, 3.27540e-01, -7.70000e+01, 1.66667e-01, 3.16707e-02
7, 7, 2.04377e-01, 1.01457e+01, 3.82129e-01, 3.82129e-01, -7.70000e+01, 1.42857e-01, 3.13007e-02
8, 8, 2.33573e-01, 1.01445e+01, 4.36719e-01, 4.36719e-01, -7.70000e+01, 1.25000e-01, 4.14678e-02
9, 9, 2.62770e-01, 1.01433e+01, 4.36719e-01, 4.36719e-01, -7.70000e+01, 1.11111e-01, 4.41427e-02
10, 10, 2.91967e-01, 1.01376e+01, 5.45899e-01, 5.45899e-01, -7.70000e+01, 1.00000e-01, 4.17349e-02
11, 10, 2.91967e-01, 1.01427e+01, 5.45899e-01, 5.45899e-01, -7.70000e+01, 0.00000e+00, 3.89701e-02
12, 11, 3.21163e-01, 1.01369e+01, 6.00489e-01, 6.00489e-01, -7.70000e+01, 9.09091e-02, 4.89227e-02
13, 12, 3.50360e-01, 1.01265e+01, 5.45899e-01, 5.45899e-01, -7.70000e+01, 1.66667e-01, 4.61209e-02
