controller=random horizon=1 threshold=0.1
step[s], count, density[car/km], speed[m/s], hamiltonian, xterm, sigmaterm, waiting rate, co2[kg/s], calc time, effective time
0, 1, 3.17034e-02, 1.02139e+01, 0.00000e+00, 0.00000e+00, 1.40000e+01, 1.00000e+00, 2.62472e-03, 1.36614e-04, 1.36614e-04
1, 2, 6.34067e-02, 1.02033e+01, 1.09180e-01, 1.09180e-01, 1.40000e+01, 5.00000e-01, 6.13968e-03, 1.36614e-04, 1.36614e-04
2, 4, 1.26813e-01, 1.01828e+01, 2.18360e-01, 2.18360e-01, 1.40000e+01, 5.00000e-01, 1.41547e-02, 1.36614e-04, 1.36614e-04
3, 6, 1.90220e-01, 1.01660e+01, 2.18360e-01, 2.18360e-01, 1.40000e+01, 3.33333e-01, 2.32785e-02, 1.36614e-04, 1.36614e-04
4, 8, 2.53627e-01, 1.01528e+01, 2.84973e-01, 2.84973e-01, 1.40000e+01, 2.50000e-01, 3.54170e-02, 1.36614e-04, 1.36614e-04
5, 9, 2.85330e-01, 1.01530e+01, 3.39562e-01, 3.39562e-01, 1.40000e+01, 1.11111e-01, 4.16664e-02, 1.36614e-04, 1.36614e-04
6, 11, 3.48737e-01, 1.01432e+01, 4.48742e-01, 4.48742e-01, 1.40000e+01, 1.81818e-01, 5.36570e-02, 1.36614e-04, 1.36614e-04
7, 13, 4.12144e-01, 1.01446e+01, 5.57922e-01, 5.57922e-01, 1.40000e+01, 1.53846e-01, 6.60382e-02, 1.36614e-04, 1.36614e-04
8, 15, 4.75550e-01, 1.01374e+01, 6.67102e-01, 6.67102e-01, 1.40000e+01, 1.33333e-01, 7.53384e-02, 1.36614e-04, 1.36614e-04
9, 17, 5.38957e-01, 1.01283e+01, 7.76282e-01, 7.76282e-01, 1.40000e+01, 1.17647e-01, 8.02781e-02, 1.36614e-04, 1.36614e-04
10, 18, 5.70660e-01, 1.01398e+01, 7.21692e-01, 7.21692e-01, 1.40000e+01, 5.55556e-02, 8.12200e-02, 1.36614e-04, 1.36614e-04
11, 20, 6.34067e-01, 1.01235e+01, 1.21300e+00, 1.21300e+00, 1.40000e+01, 1.00000e-01, 8.77739e-02, 1.36614e-04, 1.36614e-04
12, 22, 6.97474e-01, 1.01141e+01, 1.26759e+00, 1.26759e+00, 1.40000e+01, 9.09091e-02, 8.93767e-02, 1.36614e-04, 1.36614e-04
13, 23, 7.29177e-01, 1.01170e+01, 1.32218e+00, 1.32218e+00, 1.40000e+01, 4.34783e-02, 9.67703e-02, 1.36614e-04, 1.36614e-04
14, 26, 8.24287e-01, 1.01153e+01, 1.93389e+00, 1.93389e+00, 1.40000e+01, 1.15385e-01, 1.07501e-01, 1.36614e-04, 1.36614e-04
15, 27, 8.55991e-01, 1.01064e+01, 1.98848e+00, 1.98848e+00, 1.40000e+01, 1.11111e-01, 8.76481e-02, 1.36614e-04, 1.36614e-04
16, 29, 9.19397e-01, 1.00916e+01, 1.98848e+00, 1.98848e+00, 1.40000e+01, 1.37931e-01, 9.86853e-02, 1.36614e-04, 1.36614e-04
17, 31, 9.82804e-01, 1.00783e+01, 2.20684e+00, 2.20684e+00, 1.40000e+01, 1.29032e-01, 9.69990e-02, 1.36614e-04, 1.36614e-04
18, 33, 1.04621e+00, 1.00535e+01, 2.31602e+00, 2.31602e+00, 1.40000e+01, 1.51515e-01, 9.07717e-02, 1.36614e-04, 1.36614e-04
19, 34, 1.07791e+00, 1.00586e+01, 2.58897e+00, 2.58897e+00, 1.40000e+01, 1.76471e-01, 9.51741e-02, 1.36614e-04, 1.36614e-04
20, 36, 1.14132e+00, 1.00335e+01, 2.47979e+00, 2.47979e+00, 1.40000e+01, 2.22222e-01, 9.06763e-02, 1.36614e-04, 1.36614e-04
21, 37, 1.17302e+00, 1.00311e+01, 2.42520e+00, 2.42520e+00, 1.40000e+01, 2.43243e-01, 1.00638e-01, 1.36614e-04, 1.36614e-04
22, 38, 1.20473e+00, 1.00058e+01, 2.03105e+00, 2.03105e+00, 1.40000e+01, 2.63158e-01, 1.03863e-01, 1.36614e-04, 1.36614e-04
23, 40, 1.26813e+00, 9.99599e+00, 2.19482e+00, 2.19482e+00, 1.40000e+01, 2.75000e-01, 1.20923e-01, 1.36614e-04, 1.36614e-04
24, 42, 1.33154e+00, 9.99000e+00, 2.35859e+00, 2.35859e+00, 1.40000e+01, 2.85714e-01, 1.27839e-01, 1.36614e-04, 1.36614e-04
25, 43, 1.36324e+00, 9.96607e+00, 2.46777e+00, 2.46777e+00, 1.40000e+01, 3.25581e-01, 1.08852e-01, 1.36614e-04, 1.36614e-04
26, 45, 1.42665e+00, 9.94109e+00, 2.90449e+00, 2.90449e+00, 1.40000e+01, 3.55556e-01, 1.12033e-01, 1.36614e-04, 1.36614e-04
27, 47, 1.49006e+00, 9.92063e+00, 3.01367e+00, 3.01367e+00, 1.40000e+01, 3.82979e-01, 1.17662e-01, 1.36614e-04, 1.36614e-04
28, 48, 1.52176e+00, 9.92529e+00, 3.23203e+00, 3.23203e+00, 1.40000e+01, 3.75000e-01, 1.39709e-01, 1.36614e-04, 1.36614e-04
29, 48, 1.52176e+00, 9.91919e+00, 3.72334e+00, 3.72334e+00, 1.40000e+01, 4.16667e-01, 1.31520e-01, 1.36614e-04, 1.36614e-04
30, 49, 1.55346e+00, 9.90681e+00, 4.16006e+00, 4.16006e+00, 1.40000e+01, 4.48980e-01, 1.29114e-01, 1.36614e-04, 1.36614e-04
31, 52, 1.64857e+00, 9.87880e+00, 4.48760e+00, 4.48760e+00, 1.40000e+01, 4.61538e-01, 1.29556e-01, 1.36614e-04, 1.36614e-04
32, 54, 1.71198e+00, 9.85905e+00, 4.69473e+00, 4.69473e+00, 1.40000e+01, 4.25926e-01, 1.36572e-01, 1.36614e-04, 1.36614e-04
33, 55, 1.74368e+00, 9.84571e+00, 4.80391e+00, 4.80391e+00, 1.40000e+01, 4.36364e-01, 1.49376e-01, 1.36614e-04, 1.36614e-04
34, 57, 1.80709e+00, 9.82899e+00, 4.91309e+00, 4.91309e+00, 1.40000e+01, 4.56140e-01, 1.25750e-01, 1.36614e-04, 1.36614e-04
35, 59, 1.87050e+00, 9.81501e+00, 5.18604e+00, 5.18604e+00, 1.40000e+01, 4.74576e-01, 1.54795e-01, 1.36614e-04, 1.36614e-04
36, 60, 1.90220e+00, 9.80531e+00, 4.85850e+00, 4.85850e+00, 1.40000e+01, 5.00000e-01, 1.58470e-01, 1.36614e-04, 1.36614e-04
37, 61, 1.93390e+00, 9.80693e+00, 5.13145e+00, 5.13145e+00, 1.40000e+01, 5.24590e-01, 1.84713e-01, 1.36614e-04, 1.36614e-04
38, 63, 1.99731e+00, 9.80738e+00, 5.02227e+00, 5.02227e+00, 1.40000e+01, 5.07937e-01, 1.68061e-01, 1.36614e-04, 1.36614e-04
39, 64, 2.02901e+00, 9.80731e+00, 5.62276e+00, 5.62276e+00, 1.40000e+01, 5.15625e-01, 1.69116e-01, 1.36614e-04, 1.36614e-04
40, 66, 2.09242e+00, 9.79156e+00, 5.45899e+00, 5.45899e+00, 1.40000e+01, 5.15152e-01, 1.96853e-01, 1.36614e-04, 1.36614e-04
41, 68, 2.15583e+00, 9.77306e+00, 5.78653e+00, 5.78653e+00, 1.40000e+01, 5.29412e-01, 1.71841e-01, 1.36614e-04, 1.36614e-04
42, 70, 2.21924e+00, 9.76167e+00, 5.51358e+00, 5.51358e+00, 1.40000e+01, 5.42857e-01, 1.87500e-01, 1.36614e-04, 1.36614e-04
43, 71, 2.25094e+00, 9.76433e+00, 6.11407e+00, 6.11407e+00, 1.40000e+01, 5.21127e-01, 2.09829e-01, 1.36614e-04, 1.36614e-04
44, 72, 2.28264e+00, 9.77014e+00, 6.71456e+00, 6.71456e+00, 1.40000e+01, 5.13889e-01, 1.92799e-01, 1.36614e-04, 1.36614e-04
45, 74, 2.34605e+00, 9.75249e+00, 6.82374e+00, 6.82374e+00, 1.40000e+01, 5.27027e-01, 1.97024e-01, 1.36614e-04, 1.36614e-04
46, 76, 2.40946e+00, 9.74294e+00, 6.98751e+00, 6.98751e+00, 1.40000e+01, 5.26316e-01, 1.92778e-01, 1.36614e-04, 1.36614e-04
47, 78, 2.47286e+00, 9.73752e+00, 6.98751e+00, 6.98751e+00, 1.40000e+01, 5.25641e-01, 1.99683e-01, 1.36614e-04, 1.36614e-04
48, 80, 2.53627e+00, 9.72295e+00, 7.15128e+00, 7.15128e+00, 1.40000e+01, 5.12500e-01, 2.18199e-01, 1.36614e-04, 1.36614e-04
49, 82, 2.59968e+00, 9.72304e+00, 7.31505e+00, 7.31505e+00, 1.40000e+01, 5.12195e-01, 2.05134e-01, 1.36614e-04, 1.36614e-04
50, 83, 2.63138e+00, 9.71750e+00, 7.97013e+00, 7.97013e+00, 1.40000e+01, 5.42169e-01, 2.07648e-01, 1.36614e-04, 1.36614e-04
51, 85, 2.69479e+00, 9.70765e+00, 8.62521e+00, 8.62521e+00, 1.40000e+01, 5.41176e-01, 1.95925e-01, 1.36614e-04, 1.36614e-04
52, 86, 2.72649e+00, 9.69287e+00, 8.89816e+00, 8.89816e+00, 1.40000e+01, 5.34884e-01, 1.99951e-01, 1.36614e-04, 1.36614e-04
53, 87, 2.75819e+00, 9.67813e+00, 8.78898e+00, 8.78898e+00, 1.40000e+01, 5.51724e-01, 2.27297e-01, 1.36614e-04, 1.36614e-04
54, 88, 2.78990e+00, 9.68154e+00, 9.00734e+00, 9.00734e+00, 1.40000e+01, 5.56818e-01, 2.44447e-01, 1.36614e-04, 1.36614e-04
55, 89, 2.82160e+00, 9.66947e+00, 9.28029e+00, 9.28029e+00, 1.40000e+01, 6.17978e-01, 2.25735e-01, 1.36614e-04, 1.36614e-04
56, 89, 2.82160e+00, 9.67558e+00, 1.02083e+01, 1.02083e+01, 1.40000e+01, 6.17978e-01, 2.29633e-01, 1.36614e-04, 1.36614e-04
57, 90, 2.85330e+00, 9.65990e+00, 1.10818e+01, 1.10818e+01, 1.40000e+01, 6.11111e-01, 2.18767e-01, 1.36614e-04, 1.36614e-04
58, 92, 2.91671e+00, 9.65379e+00, 1.23919e+01, 1.23919e+01, 1.40000e+01, 6.30435e-01, 2.26747e-01, 1.36614e-04, 1.36614e-04
59, 94, 2.98012e+00, 9.62738e+00, 1.20644e+01, 1.20644e+01, 1.40000e+01, 6.17021e-01, 2.43630e-01, 1.36614e-04, 1.36614e-04
60, 96, 3.04352e+00, 9.60845e+00, 0.00000e+00, 0.00000e+00, 4.00000e+01, 6.56250e-01, 2.44918e-01, 2.61545e-04, 1.36614e-04
61, 96, 3.04352e+00, 9.61053e+00, 1.27740e+01, 1.27740e+01, 4.00000e+01, 6.77083e-01, 2.50773e-01, 2.61545e-04, 1.36614e-04
62, 98, 3.10693e+00, 9.60045e+00, 1.39204e+01, 1.39204e+01, 4.00000e+01, 7.04082e-01, 2.52002e-01, 2.61545e-04, 1.36614e-04
63, 100, 3.17034e+00, 9.57503e+00, 1.37567e+01, 1.37567e+01, 4.00000e+01, 6.90000e-01, 2.55473e-01, 2.61545e-04, 1.36614e-04
64, 102, 3.23374e+00, 9.55989e+00, 1.42480e+01, 1.42480e+01, 4.00000e+01, 6.86275e-01, 2.48300e-01, 2.61545e-04, 1.36614e-04
65, 104, 3.29715e+00, 9.54031e+00, 1.46847e+01, 1.46847e+01, 4.00000e+01, 6.82692e-01, 2.53440e-01, 2.61545e-04, 1.36614e-04
66, 105, 3.32885e+00, 9.52868e+00, 1.51760e+01, 1.51760e+01, 4.00000e+01, 7.14286e-01, 2.38775e-01, 2.61545e-04, 1.36614e-04
67, 106, 3.36056e+00, 9.44976e+00, 9.71701e+00, 9.71701e+00, 4.00000e+01, 4.24528e-01, 2.86965e-01, 2.61545e-04, 1.36614e-04
68, 108, 3.42396e+00, 9.49478e+00, 1.00445e+01, 1.00445e+01, 4.00000e+01, 3.33333e-01, 3.39925e-01, 2.61545e-04, 1.36614e-04
69, 109, 3.45567e+00, 9.55446e+00, 1.05904e+01, 1.05904e+01, 4.00000e+01, 2.93578e-01, 3.86165e-01, 2.61545e-04, 1.36614e-04
70, 109, 3.45567e+00, 9.58798e+00, 1.07658e+01, 1.07658e+01, 4.00000e+01, 2.93578e-01, 3.99636e-01, 2.61545e-04, 1.36614e-04
71, 109, 3.45567e+00, 9.67598e+00, 1.04929e+01, 1.04929e+01, 4.00000e+01, 3.02752e-01, 4.85023e-01, 2.61545e-04, 1.36614e-04
72, 113, 3.58248e+00, 9.74904e+00, 1.29494e+01, 1.29494e+01, 4.00000e+01, 3.36283e-01, 4.84785e-01, 2.61545e-04, 1.36614e-04
73, 115, 3.64589e+00, 9.77272e+00, 1.27857e+01, 1.27857e+01, 4.00000e+01, 3.21739e-01, 5.02614e-01, 2.61545e-04, 1.36614e-04
