controller=random horizon=1 threshold=0.1
step[s], count, density[car/km], speed[m/s], hamiltonian, xterm, sigmaterm, waiting rate, co2[kg/s], calc time, effective time
0, 1, 3.17034e-02, 1.02139e+01, 0.00000e+00, 0.00000e+00, 1.40000e+01, 1.00000e+00, 2.62472e-03, 2.46286e-04, 2.46286e-04
1, 5, 1.58517e-01, 1.01656e+01, 2.72950e-01, 2.72950e-01, 1.40000e+01, 8.00000e-01, 1.34899e-02, 2.46286e-04, 2.46286e-04
2, 9, 2.85330e-01, 1.01255e+01, 2.30383e-01, 2.30383e-01, 1.40000e+01, 4.44444e-01, 2.89548e-02, 2.46286e-04, 2.46286e-04
3, 13, 4.12144e-01, 1.00915e+01, 4.48742e-01, 4.48742e-01, 1.40000e+01, 3.07692e-01, 4.77550e-02, 2.46286e-04, 2.46286e-04
4, 18, 5.70660e-01, 1.00619e+01, 7.21692e-01, 7.21692e-01, 1.40000e+01, 2.77778e-01, 7.20993e-02, 2.46286e-04, 2.46286e-04
5, 22, 6.97474e-01, 1.00429e+01, 1.10382e+00, 1.10382e+00, 1.40000e+01, 1.81818e-01, 9.72594e-02, 2.46286e-04, 2.46286e-04
6, 27, 8.55991e-01, 1.00175e+01, 1.15841e+00, 1.15841e+00, 1.40000e+01, 1.85185e-01, 1.31097e-01, 2.46286e-04, 2.46286e-04
7, 30, 9.51101e-01, 1.00239e+01, 1.32218e+00, 1.32218e+00, 1.40000e+01, 1.00000e-01, 1.57868e-01, 2.46286e-04, 2.46286e-04
8, 34, 1.07791e+00, 1.00310e+01, 1.64972e+00, 1.64972e+00, 1.40000e+01, 1.17647e-01, 1.82332e-01, 2.46286e-04, 2.46286e-04
9, 39, 1.23643e+00, 1.00160e+01, 1.92267e+00, 1.92267e+00, 1.40000e+01, 1.28205e-01, 1.91793e-01, 2.46286e-04, 2.46286e-04
10, 42, 1.33154e+00, 1.00245e+01, 2.35939e+00, 2.35939e+00, 1.40000e+01, 7.14286e-02, 2.03512e-01, 2.46286e-04, 2.46286e-04
11, 47, 1.49006e+00, 9.99753e+00, 2.57775e+00, 2.57775e+00, 1.40000e+01, 1.06383e-01, 1.71178e-01, 2.46286e-04, 2.46286e-04
12, 52, 1.64857e+00, 9.96290e+00, 3.28742e+00, 3.28742e+00, 1.40000e+01, 9.61538e-02, 1.99685e-01, 2.46286e-04, 2.46286e-04
13, 55, 1.74368e+00, 9.94490e+00, 3.50578e+00, 3.50578e+00, 1.40000e+01, 9.09091e-02, 2.00930e-01, 2.46286e-04, 2.46286e-04
14, 60, 1.90220e+00, 9.92311e+00, 3.99709e+00, 3.99709e+00, 1.40000e+01, 1.50000e-01, 2.29448e-01, 2.46286e-04, 2.46286e-04
15, 65, 2.06072e+00, 9.89659e+00, 3.72414e+00, 3.72414e+00, 1.40000e+01, 1.38462e-01, 2.22210e-01, 2.46286e-04, 2.46286e-04
