controller=local horizon=1 threshold=0.0
step[s], count, density[car/km], speed[m/s], hamiltonian, xterm, sigmaterm, waiting rate, co2[kg/s]
0, 1, 3.42345e-03, 1.01039e+01, 0.00000e+00, 0.00000e+00, -6.19000e+02, 1.00000e+00, 2.62472e-03
1, 8, 2.73876e-02, 1.00956e+01, 4.36719e-01, 4.36719e-01, -6.19000e+02, 8.75000e-01, 2.17049e-02
2, 16, 5.47751e-02, 1.00872e+01, 8.73439e-01, 8.73439e-01, -6.19000e+02, 5.00000e-01, 4.78120e-02
3, 23, 7.87393e-02, 1.00815e+01, 1.14639e+00, 1.14639e+00, -6.19000e+02, 3.04348e-01, 8.09081e-02
4, 31, 1.06127e-01, 1.00762e+01, 1.58311e+00, 1.58311e+00, -6.19000e+02, 2.58065e-01, 1.29240e-01
5, 38, 1.30091e-01, 1.00730e+01, 1.96524e+00, 1.96524e+00, -6.19000e+02, 1.84211e-01, 1.67262e-01
6, 46, 1.57479e-01, 1.00696e+01, 2.40196e+00, 2.40196e+00, -6.19000e+02, 1.73913e-01, 2.18271e-01
7, 53, 1.81443e-01, 1.00698e+01, 2.89327e+00, 2.89327e+00, -6.19000e+02, 1.32075e-01, 2.88597e-01
8, 61, 2.08830e-01, 1.00683e+01, 3.22081e+00, 3.22081e+00, -6.19000e+02, 1.31148e-01, 3.21889e-01
9, 68, 2.32794e-01, 1.00674e+01, 3.60293e+00, 3.60293e+00, -6.19000e+02, 1.02941e-01, 3.33829e-01
10, 75, 2.56758e-01, 1.00652e+01, 3.82129e+00, 3.82129e+00, -6.19000e+02, 9.33333e-02, 3.15480e-01
11, 81, 2.77299e-01, 1.00638e+01, 4.14883e+00, 4.14883e+00, -6.19000e+02, 7.40741e-02, 3.47141e-01
12, 90, 3.08110e-01, 1.00582e+01, 4.74932e+00, 4.74932e+00, -6.19000e+02, 1.11111e-01, 3.71399e-01
13, 97, 3.32074e-01, 1.00556e+01, 5.02227e+00, 5.02227e+00, -6.19000e+02, 8.24742e-02, 3.74304e-01
14, 106, 3.62885e-01, 1.00502e+01, 5.95030e+00, 5.95030e+00, -6.19000e+02, 1.50943e-01, 3.59431e-01
