controller=global horizon=1 threshold=0.1
step[s], count, density[car/km], speed[m/s], hamiltonian, xterm, sigmaterm, waiting rate, co2[kg/s], calc time, effective time
0, 1, 3.17034e-02, 1.02139e+01, 0.00000e+00, 0.00000e+00, 0.00000e+00, 1.00000e+00, 2.62472e-03, 7.91938e+00, 7.91938e+00
1, 4, 1.26813e-01, 1.01785e+01, 2.18360e-01, 2.18360e-01, 0.00000e+00, 7.50000e-01, 1.13891e-02, 7.91938e+00, 7.91938e+00
2, 8, 2.53627e-01, 1.01373e+01, 2.84973e-01, 2.84973e-01, 0.00000e+00, 5.00000e-01, 2.70037e-02, 7.91938e+00, 7.91938e+00
3, 11, 3.48737e-01, 1.01143e+01, 4.48742e-01, 4.48742e-01, 0.00000e+00, 2.72727e-01, 4.17426e-02, 7.91938e+00, 7.91938e+00
4, 15, 4.75550e-01, 1.00936e+01, 6.67102e-01, 6.67102e-01, 0.00000e+00, 2.66667e-01, 6.13019e-02, 7.91938e+00, 7.91938e+00
5, 18, 5.70660e-01, 1.00793e+01, 8.30872e-01, 8.30872e-01, 0.00000e+00, 1.66667e-01, 7.88040e-02, 7.91938e+00, 7.91938e+00
6, 22, 6.97474e-01, 1.00596e+01, 1.21300e+00, 1.21300e+00, 0.00000e+00, 1.81818e-01, 1.05570e-01, 7.91938e+00, 7.91938e+00
7, 26, 8.24287e-01, 1.00456e+01, 1.32218e+00, 1.32218e+00, 0.00000e+00, 1.53846e-01, 1.36688e-01, 7.91938e+00, 7.91938e+00
8, 29, 9.19397e-01, 1.00457e+01, 1.37677e+00, 1.37677e+00, 0.00000e+00, 1.03448e-01, 1.42687e-01, 7.91938e+00, 7.91938e+00
9, 32, 1.01451e+00, 1.00542e+01, 1.64972e+00, 1.64972e+00, 0.00000e+00, 9.37500e-02, 1.69392e-01, 7.91938e+00, 7.91938e+00
10, 34, 1.07791e+00, 1.00657e+01, 1.54054e+00, 1.54054e+00, 0.00000e+00, 5.88235e-02, 1.62312e-01, 7.91938e+00, 7.91938e+00
11, 37, 1.17302e+00, 1.00601e+01, 1.81349e+00, 1.81349e+00, 0.00000e+00, 8.10811e-02, 1.63044e-01, 7.91938e+00, 7.91938e+00
12, 39, 1.23643e+00, 1.00709e+01, 1.92267e+00, 1.92267e+00, 0.00000e+00, 7.69231e-02, 1.57025e-01, 7.91938e+00, 7.91938e+00
13, 44, 1.39495e+00, 1.00324e+01, 2.14103e+00, 2.14103e+00, 0.00000e+00, 1.36364e-01, 1.64751e-01, 7.91938e+00, 7.91938e+00
14, 47, 1.49006e+00, 1.00380e+01, 2.57775e+00, 2.57775e+00, 0.00000e+00, 8.51064e-02, 1.89736e-01, 7.91938e+00, 7.91938e+00
15, 52, 1.64857e+00, 1.00113e+01, 3.28742e+00, 3.28742e+00, 0.00000e+00, 1.34615e-01, 1.79973e-01, 7.91938e+00, 7.91938e+00
16, 57, 1.80709e+00, 9.97042e+00, 3.94250e+00, 3.94250e+00, 0.00000e+00, 1.22807e-01, 1.92309e-01, 7.91938e+00, 7.91938e+00
17, 60, 1.90220e+00, 9.93353e+00, 4.10627e+00, 4.10627e+00, 0.00000e+00, 1.00000e-01, 1.87865e-01, 7.91938e+00, 7.91938e+00
18, 63, 1.99731e+00, 9.90688e+00, 3.77873e+00, 3.77873e+00, 0.00000e+00, 1.11111e-01, 2.11547e-01, 7.91938e+00, 7.91938e+00
19, 67, 2.12412e+00, 9.88928e+00, 4.43381e+00, 4.43381e+00, 0.00000e+00, 1.79104e-01, 2.11480e-01, 7.91938e+00, 7.91938e+00
20, 70, 2.21924e+00, 9.86964e+00, 5.34981e+00, 5.34981e+00, 0.00000e+00, 2.00000e-01, 2.16871e-01, 7.91938e+00, 7.91938e+00
21, 74, 2.34605e+00, 9.82166e+00, 6.38702e+00, 6.38702e+00, 0.00000e+00, 2.29730e-01, 2.05332e-01, 7.91938e+00, 7.91938e+00
22, 76, 2.40946e+00, 9.81524e+00, 6.33243e+00, 6.33243e+00, 0.00000e+00, 2.10526e-01, 2.12360e-01, 7.91938e+00, 7.91938e+00
23, 81, 2.56797e+00, 9.77809e+00, 6.44161e+00, 6.44161e+00, 0.00000e+00, 2.71605e-01, 2.27289e-01, 7.91938e+00, 7.91938e+00
24, 84, 2.66308e+00, 9.76071e+00, 6.71456e+00, 6.71456e+00, 0.00000e+00, 2.73810e-01, 2.21840e-01, 7.91938e+00, 7.91938e+00
25, 87, 2.75819e+00, 9.75795e+00, 6.98751e+00, 6.98751e+00, 0.00000e+00, 2.98851e-01, 2.26396e-01, 7.91938e+00, 7.91938e+00
26, 88, 2.78990e+00, 9.76257e+00, 7.04210e+00, 7.04210e+00, 0.00000e+00, 3.06818e-01, 2.12371e-01, 7.91938e+00, 7.91938e+00
27, 91, 2.88501e+00, 9.74713e+00, 7.36964e+00, 7.36964e+00, 0.00000e+00, 3.18681e-01, 2.32047e-01, 7.91938e+00, 7.91938e+00
28, 95, 3.01182e+00, 9.72619e+00, 7.86095e+00, 7.86095e+00, 0.00000e+00, 3.57895e-01, 2.48287e-01, 7.91938e+00, 7.91938e+00
29, 96, 3.04352e+00, 9.70406e+00, 8.40685e+00, 8.40685e+00, 0.00000e+00, 3.54167e-01, 2.37136e-01, 7.91938e+00, 7.91938e+00
30, 101, 3.20204e+00, 9.68128e+00, 9.28029e+00, 9.28029e+00, 0.00000e+00, 4.05941e-01, 2.57068e-01, 7.91938e+00, 7.91938e+00
31, 104, 3.29715e+00, 9.65211e+00, 9.88078e+00, 9.88078e+00, 0.00000e+00, 3.94231e-01, 2.95606e-01, 7.91938e+00, 7.91938e+00
32, 107, 3.39226e+00, 9.62305e+00, 9.98996e+00, 9.98996e+00, 0.00000e+00, 4.39252e-01, 3.12374e-01, 7.91938e+00, 7.91938e+00
33, 110, 3.48737e+00, 9.60369e+00, 1.09180e+01, 1.09180e+01, 0.00000e+00, 4.36364e-01, 3.16263e-01, 7.91938e+00, 7.91938e+00
34, 112, 3.55078e+00, 9.62442e+00, 1.29924e+01, 1.29924e+01, 0.00000e+00, 4.55357e-01, 3.16993e-01, 7.91938e+00, 7.91938e+00
35, 115, 3.64589e+00, 9.61204e+00, 1.45209e+01, 1.45209e+01, 0.00000e+00, 4.60870e-01, 3.03855e-01, 7.91938e+00, 7.91938e+00
36, 118, 3.74100e+00, 9.62454e+00, 1.57219e+01, 1.57219e+01, 0.00000e+00, 4.74576e-01, 3.13214e-01, 7.91938e+00, 7.91938e+00
