controller=local horizon=1 threshold=0.0
step[s], count, density[car/km], speed[m/s], hamiltonian, xterm, sigmaterm, waiting rate, co2[kg/s]
0, 1, 3.77155e-02, 1.01908e+01, 0.00000e+00, 0.00000e+00, -5.80000e+01, 1.00000e+00, 2.62472e-03
1, 2, 7.54309e-02, 1.01778e+01, 1.09180e-01, 1.09180e-01, -5.80000e+01, 5.00000e-01, 5.63707e-03
2, 3, 1.13146e-01, 1.01679e+01, 1.63770e-01, 1.63770e-01, -5.80000e+01, 3.33333e-01, 1.04352e-02
3, 4, 1.50862e-01, 1.01596e+01, 2.18360e-01, 2.18360e-01, -5.80000e+01, 2.50000e-01, 1.51162e-02
4, 5, 1.88577e-01, 1.01524e+01, 2.72950e-01, 2.72950e-01, -5.80000e+01, 2.00000e-01, 2.01651e-02
5, 7, 2.64008e-01, 1.01345e+01, 3.82129e-01, 3.82129e-01, -5.80000e+01, 2.85714e-01, 3.35259e-02
6, 8, 3.01724e-01, 1.01343e+01, 4.36719e-01, 4.36719e-01, -5.80000e+01, 1.25000e-01, 4.05706e-02
7, 9, 3.39439e-01, 1.01371e+01, 4.91309e-01, 4.91309e-01, -5.80000e+01, 1.11111e-01, 5.43961e-02
8, 10, 3.77155e-01, 1.01386e+01, 5.45899e-01, 5.45899e-01, -5.80000e+01, 1.00000e-01, 5.01160e-02
9, 11, 4.14870e-01, 1.01367e+01, 6.00489e-01, 6.00489e-01, -5.80000e+01, 9.09091e-02, 5.06941e-02
10, 13, 4.90301e-01, 1.01198e+01, 6.55079e-01, 6.55079e-01, -5.80000e+01, 1.53846e-01, 6.04163e-02
11, 14, 5.28017e-01, 1.01145e+01, 9.28029e-01, 9.28029e-01, -5.80000e+01, 7.14286e-02, 5.56527e-02
12, 15, 5.65732e-01, 1.01182e+01, 9.28029e-01, 9.28029e-01, -5.80000e+01, 6.66667e-02, 5.95638e-02
13, 16, 6.03447e-01, 1.01053e+01, 9.28029e-01, 9.28029e-01, -5.80000e+01, 6.25000e-02, 4.68814e-02
14, 17, 6.41163e-01, 1.01041e+01, 1.09180e+00, 1.09180e+00, -5.80000e+01, 5.88235e-02, 6.23518e-02
15, 17, 6.41163e-01, 1.01073e+01, 1.03721e+00, 1.03721e+00, -5.80000e+01, 1.17647e-01, 7.86433e-02
16, 18, 6.78878e-01, 1.01050e+01, 1.31016e+00, 1.31016e+00, -5.80000e+01, 1.11111e-01, 7.08191e-02
17, 19, 7.16594e-01, 1.01032e+01, 1.52852e+00, 1.52852e+00, -5.80000e+01, 1.05263e-01, 7.12745e-02
18, 20, 7.54309e-01, 1.00937e+01, 1.58311e+00, 1.58311e+00, -5.80000e+01, 2.00000e-01, 6.44597e-02
19, 21, 7.92025e-01, 1.00737e+01, 1.41934e+00, 1.41934e+00, -5.80000e+01, 1.42857e-01, 4.90310e-02
20, 21, 7.92025e-01, 1.00630e+01, 1.41934e+00, 1.41934e+00, -5.80000e+01, 1.90476e-01, 5.41289e-02
21, 22, 8.29740e-01, 1.00447e+01, 1.63770e+00, 1.63770e+00, -5.80000e+01, 2.27273e-01, 6.60812e-02
22, 23, 8.67456e-01, 1.00440e+01, 1.69229e+00, 1.69229e+00, -5.80000e+01, 2.17391e-01, 6.49445e-02
23, 25, 9.42887e-01, 1.00332e+01, 1.96524e+00, 1.96524e+00, -5.80000e+01, 2.80000e-01, 6.98775e-02
24, 26, 9.80602e-01, 1.00164e+01, 2.23819e+00, 2.23819e+00, -5.80000e+01, 2.69231e-01, 6.29366e-02
25, 28, 1.05603e+00, 1.00006e+01, 2.29278e+00, 2.29278e+00, -5.80000e+01, 2.85714e-01, 9.16157e-02
26, 28, 1.05603e+00, 9.99894e+00, 2.12901e+00, 2.12901e+00, -5.80000e+01, 2.85714e-01, 9.01639e-02
27, 29, 1.09375e+00, 9.98780e+00, 1.91065e+00, 1.91065e+00, -5.80000e+01, 2.75862e-01, 8.21988e-02
28, 29, 1.09375e+00, 9.99072e+00, 1.91065e+00, 1.91065e+00, -5.80000e+01, 2.75862e-01, 7.88202e-02
29, 30, 1.13146e+00, 9.98061e+00, 1.58311e+00, 1.58311e+00, -5.80000e+01, 3.33333e-01, 7.92119e-02
30, 32, 1.20689e+00, 9.96582e+00, 1.80147e+00, 1.80147e+00, -5.80000e+01, 3.75000e-01, 9.47888e-02
31, 32, 1.20689e+00, 9.94407e+00, 2.23819e+00, 2.23819e+00, -5.80000e+01, 3.43750e-01, 9.76747e-02
32, 33, 1.24461e+00, 9.93835e+00, 2.29278e+00, 2.29278e+00, -5.80000e+01, 3.93939e-01, 9.10160e-02
33, 35, 1.32004e+00, 9.93158e+00, 2.89327e+00, 2.89327e+00, -5.80000e+01, 4.00000e-01, 1.00644e-01
34, 36, 1.35776e+00, 9.94203e+00, 3.00245e+00, 3.00245e+00, -5.80000e+01, 3.88889e-01, 1.22528e-01
35, 37, 1.39547e+00, 9.93253e+00, 2.83868e+00, 2.83868e+00, -5.80000e+01, 4.32432e-01, 9.76541e-02
36, 38, 1.43319e+00, 9.94150e+00, 3.16622e+00, 3.16622e+00, -5.80000e+01, 3.94737e-01, 9.15842e-02
37, 39, 1.47090e+00, 9.93615e+00, 3.32999e+00, 3.32999e+00, -5.80000e+01, 4.10256e-01, 1.34393e-01
38, 40, 1.50862e+00, 9.91549e+00, 3.27540e+00, 3.27540e+00, -5.80000e+01, 4.00000e-01, 1.13700e-01
39, 41, 1.54633e+00, 9.90222e+00, 3.54834e+00, 3.54834e+00, -5.80000e+01, 4.14634e-01, 9.51225e-02
40, 43, 1.62177e+00, 9.87417e+00, 3.32999e+00, 3.32999e+00, -5.80000e+01, 4.41860e-01, 1.28377e-01
41, 44, 1.65948e+00, 9.86211e+00, 3.16622e+00, 3.16622e+00, -5.80000e+01, 4.31818e-01, 1.29378e-01
42, 45, 1.69720e+00, 9.85354e+00, 3.16622e+00, 3.16622e+00, -5.80000e+01, 4.44444e-01, 1.30411e-01
43, 46, 1.73491e+00, 9.85552e+00, 3.27540e+00, 3.27540e+00, -5.80000e+01, 4.34783e-01, 1.45655e-01
44, 46, 1.73491e+00, 9.86756e+00, 3.49375e+00, 3.49375e+00, -5.80000e+01, 4.34783e-01, 1.25793e-01
45, 48, 1.81034e+00, 9.86527e+00, 4.03965e+00, 4.03965e+00, -5.80000e+01, 4.79167e-01, 1.45071e-01
46, 49, 1.84806e+00, 9.85900e+00, 4.09424e+00, 4.09424e+00, -5.80000e+01, 4.69388e-01, 1.32302e-01
47, 50, 1.88577e+00, 9.83470e+00, 3.98506e+00, 3.98506e+00, -5.80000e+01, 4.80000e-01, 1.12151e-01
48, 51, 1.92349e+00, 9.81154e+00, 3.82129e+00, 3.82129e+00, -5.80000e+01, 4.70588e-01, 1.21187e-01
49, 52, 1.96120e+00, 9.79988e+00, 3.87588e+00, 3.87588e+00, -5.80000e+01, 4.80769e-01, 1.15319e-01
50, 52, 1.96120e+00, 9.80478e+00, 3.98506e+00, 3.98506e+00, -5.80000e+01, 5.00000e-01, 1.39426e-01
