controller=local horizon=1 threshold=0.0
step[s], count, density[car/km], speed[m/s], hamiltonian, xterm, sigmaterm, waiting rate, co2[kg/s]
0, 1, 2.91967e-02, 1.01779e+01, 0.00000e+00, 0.00000e+00, -7.70000e+01, 1.00000e+00, 2.62472e-03
1, 4, 1.16787e-01, 1.01466e+01, 2.18360e-01, 2.18360e-01, -7.70000e+01, 7.50000e-01, 1.16327e-02
2, 8, 2.33573e-01, 1.01091e+01, 4.36719e-01, 4.36719e-01, -7.70000e+01, 5.00000e-01, 2.60585e-02
3, 11, 3.21163e-01, 1.00883e+01, 6.00489e-01, 6.00489e-01, -7.70000e+01, 2.72727e-01, 3.99646e-02
4, 15, 4.37950e-01, 1.00609e+01, 8.73439e-01, 8.73439e-01, -7.70000e+01, 2.66667e-01, 6.00592e-02
5, 19, 5.54737e-01, 1.00406e+01, 9.82619e-01, 9.82619e-01, -7.70000e+01, 2.10526e-01, 8.50404e-02
6, 22, 6.42327e-01, 1.00364e+01, 1.25557e+00, 1.25557e+00, -7.70000e+01, 1.36364e-01, 1.07252e-01
7, 26, 7.59113e-01, 1.00265e+01, 1.63770e+00, 1.63770e+00, -7.70000e+01, 1.53846e-01, 1.38882e-01
8, 29, 8.46703e-01, 1.00310e+01, 1.58311e+00, 1.58311e+00, -7.70000e+01, 1.03448e-01, 1.51524e-01
9, 31, 9.05097e-01, 1.00387e+01, 1.52852e+00, 1.52852e+00, -7.70000e+01, 6.45161e-02, 1.47940e-01
10, 36, 1.05108e+00, 1.00179e+01, 1.85606e+00, 1.85606e+00, -7.70000e+01, 1.38889e-01, 1.65463e-01
11, 38, 1.10947e+00, 1.00176e+01, 2.07442e+00, 2.07442e+00, -7.70000e+01, 5.26316e-02, 1.63491e-01
12, 40, 1.16787e+00, 1.00105e+01, 2.45655e+00, 2.45655e+00, -7.70000e+01, 1.00000e-01, 1.67386e-01
13, 44, 1.28465e+00, 9.98947e+00, 2.72950e+00, 2.72950e+00, -7.70000e+01, 1.81818e-01, 1.58145e-01
14, 47, 1.37224e+00, 9.96532e+00, 3.22081e+00, 3.22081e+00, -7.70000e+01, 1.48936e-01, 1.39929e-01
15, 51, 1.48903e+00, 9.94611e+00, 3.65752e+00, 3.65752e+00, -7.70000e+01, 1.56863e-01, 1.66100e-01
16, 53, 1.54742e+00, 9.95895e+00, 4.14883e+00, 4.14883e+00, -7.70000e+01, 1.50943e-01, 1.78447e-01
17, 59, 1.72260e+00, 9.92879e+00, 4.85850e+00, 4.85850e+00, -7.70000e+01, 2.37288e-01, 1.85064e-01
18, 61, 1.78100e+00, 9.94143e+00, 4.59677e+00, 4.59677e+00, -7.70000e+01, 1.80328e-01, 2.02945e-01
19, 64, 1.86859e+00, 9.92438e+00, 4.86972e+00, 4.86972e+00, -7.70000e+01, 2.03125e-01, 1.90806e-01
20, 68, 1.98537e+00, 9.91222e+00, 5.30644e+00, 5.30644e+00, -7.70000e+01, 2.20588e-01, 2.09061e-01
21, 71, 2.07296e+00, 9.88287e+00, 5.96152e+00, 5.96152e+00, -7.70000e+01, 2.39437e-01, 2.25580e-01
22, 75, 2.18975e+00, 9.86413e+00, 6.28906e+00, 6.28906e+00, -7.70000e+01, 2.53333e-01, 2.45110e-01
23, 79, 2.30654e+00, 9.85227e+00, 6.73700e+00, 6.73700e+00, -7.70000e+01, 2.40506e-01, 2.34493e-01
24, 82, 2.39413e+00, 9.85032e+00, 6.68241e+00, 6.68241e+00, -7.70000e+01, 2.56098e-01, 2.48847e-01
25, 87, 2.54011e+00, 9.81854e+00, 7.17372e+00, 7.17372e+00, -7.70000e+01, 2.87356e-01, 2.47553e-01
26, 90, 2.62770e+00, 9.79391e+00, 7.39208e+00, 7.39208e+00, -7.70000e+01, 2.88889e-01, 2.40029e-01
27, 93, 2.71529e+00, 9.79308e+00, 7.82880e+00, 7.82880e+00, -7.70000e+01, 2.90323e-01, 2.63250e-01
28, 96, 2.80288e+00, 9.79165e+00, 7.82880e+00, 7.82880e+00, -7.70000e+01, 3.22917e-01, 2.81113e-01
29, 98, 2.86127e+00, 9.76329e+00, 7.55585e+00, 7.55585e+00, -7.70000e+01, 3.36735e-01, 2.65107e-01
30, 101, 2.94886e+00, 9.75104e+00, 8.15634e+00, 8.15634e+00, -7.70000e+01, 3.16832e-01, 3.00154e-01
31, 104, 3.03645e+00, 9.75107e+00, 8.21093e+00, 8.21093e+00, -7.70000e+01, 3.17308e-01, 3.08474e-01
32, 109, 3.18244e+00, 9.73726e+00, 9.19355e+00, 9.19355e+00, -7.70000e+01, 3.48624e-01, 3.33676e-01
33, 112, 3.27003e+00, 9.73435e+00, 1.00558e+01, 1.00558e+01, -7.70000e+01, 3.57143e-01, 3.00297e-01
34, 114, 3.32842e+00, 9.72667e+00, 1.06563e+01, 1.06563e+01, -7.70000e+01, 3.59649e-01, 3.02133e-01
35, 118, 3.44521e+00, 9.70825e+00, 9.07315e+00, 9.07315e+00, -7.70000e+01, 3.72881e-01, 3.45777e-01
36, 120, 3.50360e+00, 9.71521e+00, 9.29151e+00, 9.29151e+00, -7.70000e+01, 3.66667e-01, 3.20160e-01
