controller=local horizon=1 threshold=0.0
step[s], count, density[car/km], speed[m/s], hamiltonian, xterm, sigmaterm, waiting rate, co2[kg/s], calc time
0, 1, 3.42345e-03, 1.01039e+01, 0.00000e+00, 0.00000e+00, -6.19000e+02, 1.00000e+00, 2.62472e-03, 2.29120e-04
1, 10, 3.42345e-02, 1.00932e+01, 5.45899e-01, 5.45899e-01, -6.19000e+02, 9.00000e-01, 2.69544e-02, 2.29120e-04
2, 19, 6.50455e-02, 1.00839e+01, 9.28029e-01, 9.28029e-01, -6.19000e+02, 4.73684e-01, 5.75018e-02, 2.29120e-04
3, 29, 9.92800e-02, 1.00752e+01, 1.47393e+00, 1.47393e+00, -6.19000e+02, 3.44828e-01, 1.02733e-01, 2.29120e-04
4, 38, 1.30091e-01, 1.00694e+01, 1.96524e+00, 1.96524e+00, -6.19000e+02, 2.36842e-01, 1.52093e-01, 2.29120e-04
5, 47, 1.60902e-01, 1.00659e+01, 2.56573e+00, 2.56573e+00, -6.19000e+02, 1.91489e-01, 2.07499e-01, 2.29120e-04
6, 57, 1.95136e-01, 1.00616e+01, 3.11163e+00, 3.11163e+00, -6.19000e+02, 1.75439e-01, 2.75316e-01, 2.29120e-04
7, 66, 2.25947e-01, 1.00602e+01, 3.49375e+00, 3.49375e+00, -6.19000e+02, 1.36364e-01, 3.52429e-01, 2.29120e-04
8, 76, 2.60182e-01, 1.00591e+01, 3.93047e+00, 3.93047e+00, -6.19000e+02, 1.31579e-01, 4.07891e-01, 2.29120e-04
9, 85, 2.90993e-01, 1.00579e+01, 4.53096e+00, 4.53096e+00, -6.19000e+02, 1.05882e-01, 4.08500e-01, 2.29120e-04
10, 93, 3.18381e-01, 1.00556e+01, 4.96768e+00, 4.96768e+00, -6.19000e+02, 8.60215e-02, 3.95996e-01, 2.29120e-04
11, 103, 3.52615e-01, 1.00520e+01, 5.56817e+00, 5.56817e+00, -6.19000e+02, 9.70874e-02, 4.59899e-01, 2.29120e-04
12, 113, 3.86849e-01, 1.00479e+01, 6.27784e+00, 6.27784e+00, -6.19000e+02, 8.84956e-02, 4.66321e-01, 2.29120e-04
13, 122, 4.17660e-01, 1.00430e+01, 6.60538e+00, 6.60538e+00, -6.19000e+02, 9.01639e-02, 4.60141e-01, 2.29120e-04
14, 132, 4.51895e-01, 1.00379e+01, 7.58800e+00, 7.58800e+00, -6.19000e+02, 1.28788e-01, 4.61564e-01, 2.29120e-04
15, 140, 4.79283e-01, 1.00351e+01, 8.35226e+00, 8.35226e+00, -6.19000e+02, 1.28571e-01, 4.80610e-01, 2.29120e-04
16, 151, 5.16940e-01, 1.00280e+01, 9.06193e+00, 9.06193e+00, -6.19000e+02, 1.65563e-01, 4.81466e-01, 2.29120e-04
17, 159, 5.44328e-01, 1.00252e+01, 9.66242e+00, 9.66242e+00, -6.19000e+02, 1.57233e-01, 5.19714e-01, 2.29120e-04
18, 168, 5.75139e-01, 1.00189e+01, 1.02083e+01, 1.02083e+01, -6.19000e+02, 1.84524e-01, 5.40226e-01, 2.29120e-04
19, 179, 6.12797e-01, 1.00105e+01, 1.02083e+01, 1.02083e+01, -6.19000e+02, 2.06704e-01, 5.14215e-01, 2.29120e-04
20, 187, 6.40185e-01, 1.00049e+01, 1.04267e+01, 1.04267e+01, -6.19000e+02, 2.13904e-01, 5.39200e-01, 2.29120e-04
21, 194, 6.64149e-01, 1.00014e+01, 1.15185e+01, 1.15185e+01, -6.19000e+02, 2.21649e-01, 5.70534e-01, 2.29120e-04
22, 204, 6.98383e-01, 9.99745e+00, 1.22281e+01, 1.22281e+01, -6.19000e+02, 2.40196e-01, 6.14664e-01, 2.29120e-04
23, 214, 7.32618e-01, 9.99181e+00, 1.34837e+01, 1.34837e+01, -6.19000e+02, 2.47664e-01, 6.37181e-01, 2.29120e-04
24, 223, 7.63429e-01, 9.98854e+00, 1.37021e+01, 1.37021e+01, -6.19000e+02, 2.60090e-01, 6.49477e-01, 2.29120e-04
25, 233, 7.97663e-01, 9.98362e+00, 1.47393e+01, 1.47393e+01, -6.19000e+02, 2.78970e-01, 6.94343e-01, 2.29120e-04
26, 242, 8.28474e-01, 9.98010e+00, 1.50668e+01, 1.50668e+01, -6.19000e+02, 2.76860e-01, 7.31549e-01, 2.29120e-04
27, 253, 8.66132e-01, 9.97093e+00, 1.49576e+01, 1.49576e+01, -6.19000e+02, 2.96443e-01, 7.04050e-01, 2.29120e-04
28, 261, 8.93520e-01, 9.96439e+00, 1.55035e+01, 1.55035e+01, -6.19000e+02, 2.98851e-01, 7.05317e-01, 2.29120e-04
29, 271, 9.27754e-01, 9.95600e+00, 1.63770e+01, 1.63770e+01, -6.19000e+02, 2.98893e-01, 7.43262e-01, 2.29120e-04
30, 278, 9.51718e-01, 9.95114e+00, 1.58857e+01, 1.58857e+01, -6.19000e+02, 3.12950e-01, 7.99952e-01, 2.29120e-04
31, 283, 9.68835e-01, 9.95040e+00, 1.64862e+01, 1.64862e+01, -6.19000e+02, 3.07420e-01, 7.77339e-01, 2.29120e-04
32, 296, 1.01334e+00, 9.94252e+00, 1.75234e+01, 1.75234e+01, -6.19000e+02, 3.54730e-01, 7.98109e-01, 2.29120e-04
33, 307, 1.05100e+00, 9.93528e+00, 1.83968e+01, 1.83968e+01, -6.19000e+02, 3.38762e-01, 7.78546e-01, 2.29120e-04
34, 316, 1.08181e+00, 9.92966e+00, 1.83968e+01, 1.83968e+01, -6.19000e+02, 3.48101e-01, 8.35471e-01, 2.29120e-04
35, 325, 1.11262e+00, 9.92028e+00, 1.87243e+01, 1.87243e+01, -6.19000e+02, 3.50769e-01, 8.66007e-01, 2.29120e-04
36, 334, 1.14343e+00, 9.91233e+00, 1.87789e+01, 1.87789e+01, -6.19000e+02, 3.65269e-01, 8.28273e-01, 2.29120e-04
37, 343, 1.17424e+00, 9.90605e+00, 1.89973e+01, 1.89973e+01, -6.19000e+02, 3.70262e-01, 9.64060e-01, 2.29120e-04
38, 353, 1.20848e+00, 9.89830e+00, 1.95978e+01, 1.95978e+01, -6.19000e+02, 3.85269e-01, 9.90950e-01, 2.29120e-04
39, 360, 1.23244e+00, 9.89772e+00, 1.98161e+01, 1.98161e+01, -6.19000e+02, 3.80556e-01, 9.87895e-01, 2.29120e-04
40, 370, 1.26668e+00, 9.89400e+00, 2.11809e+01, 2.11809e+01, -6.19000e+02, 3.89189e-01, 1.00884e+00, 2.29120e-04
41, 379, 1.29749e+00, 9.89159e+00, 2.19451e+01, 2.19451e+01, -6.19000e+02, 3.98417e-01, 1.05897e+00, 2.29120e-04
42, 392, 1.34199e+00, 9.88500e+00, 2.24365e+01, 2.24365e+01, -6.19000e+02, 4.00510e-01, 1.07752e+00, 2.29120e-04
43, 400, 1.36938e+00, 9.87750e+00, 2.42379e+01, 2.42379e+01, -6.19000e+02, 3.95000e-01, 1.01750e+00, 2.29120e-04
44, 409, 1.40019e+00, 9.86513e+00, 2.49476e+01, 2.49476e+01, -6.19000e+02, 3.91198e-01, 1.04560e+00, 2.29120e-04
45, 418, 1.43100e+00, 9.85757e+00, 2.46746e+01, 2.46746e+01, -6.19000e+02, 3.99522e-01, 1.05174e+00, 2.29120e-04
46, 428, 1.46524e+00, 9.84869e+00, 2.52751e+01, 2.52751e+01, -6.19000e+02, 4.18224e-01, 1.11723e+00, 2.29120e-04
47, 436, 1.49262e+00, 9.84150e+00, 2.51660e+01, 2.51660e+01, -6.19000e+02, 4.24312e-01, 1.08594e+00, 2.29120e-04
48, 447, 1.53028e+00, 9.83900e+00, 2.51114e+01, 2.51114e+01, -6.19000e+02, 4.51902e-01, 1.19279e+00, 2.29120e-04
49, 454, 1.55424e+00, 9.83374e+00, 2.59302e+01, 2.59302e+01, -6.19000e+02, 4.49339e-01, 1.11058e+00, 2.29120e-04
50, 465, 1.59190e+00, 9.82616e+00, 2.57119e+01, 2.57119e+01, -6.19000e+02, 4.55914e-01, 1.18588e+00, 2.29120e-04
51, 473, 1.61929e+00, 9.82317e+00, 2.80592e+01, 2.80592e+01, -6.19000e+02, 4.54545e-01, 1.16434e+00, 2.29120e-04
52, 483, 1.65352e+00, 9.81449e+00, 2.95331e+01, 2.95331e+01, -6.19000e+02, 4.59627e-01, 1.26409e+00, 2.29120e-04
53, 491, 1.68091e+00, 9.81291e+00, 2.98607e+01, 2.98607e+01, -6.19000e+02, 4.58248e-01, 1.36735e+00, 2.29120e-04
54, 500, 1.71172e+00, 9.80475e+00, 3.13346e+01, 3.13346e+01, -6.19000e+02, 4.64000e-01, 1.28719e+00, 2.29120e-04
55, 509, 1.74253e+00, 9.79852e+00, 3.16076e+01, 3.16076e+01, -6.19000e+02, 4.65619e-01, 1.36203e+00, 2.29120e-04
56, 516, 1.76650e+00, 9.79362e+00, 3.20443e+01, 3.20443e+01, -6.19000e+02, 4.74806e-01, 1.35271e+00, 2.29120e-04
57, 525, 1.79731e+00, 9.78382e+00, 3.19351e+01, 3.19351e+01, -6.19000e+02, 4.81905e-01, 1.28952e+00, 2.29120e-04
58, 534, 1.82812e+00, 9.77808e+00, 3.30815e+01, 3.30815e+01, -6.19000e+02, 4.83146e-01, 1.30941e+00, 2.29120e-04
59, 543, 1.85893e+00, 9.77099e+00, 3.45008e+01, 3.45008e+01, -6.19000e+02, 5.04604e-01, 1.34553e+00, 2.29120e-04
60, 553, 1.89317e+00, 9.76091e+00, 0.00000e+00, 0.00000e+00, -2.05000e+02, 5.09946e-01, 1.39150e+00, 2.58207e-04
61, 564, 1.93082e+00, 9.75420e+00, 3.70120e+01, 3.70120e+01, -2.05000e+02, 5.15957e-01, 1.43331e+00, 2.58207e-04
62, 572, 1.95821e+00, 9.74771e+00, 3.55926e+01, 3.55926e+01, -2.05000e+02, 5.17483e-01, 1.43253e+00, 2.58207e-04
63, 582, 1.99245e+00, 9.73899e+00, 3.66298e+01, 3.66298e+01, -2.05000e+02, 5.30928e-01, 1.37876e+00, 2.58207e-04
64, 592, 2.02668e+00, 9.73301e+00, 3.64661e+01, 3.64661e+01, -2.05000e+02, 5.35473e-01, 1.47313e+00, 2.58207e-04
65, 600, 2.05407e+00, 9.72635e+00, 3.73395e+01, 3.73395e+01, -2.05000e+02, 5.33333e-01, 1.49859e+00, 2.58207e-04
66, 613, 2.09857e+00, 9.71699e+00, 3.90864e+01, 3.90864e+01, -2.05000e+02, 5.44861e-01, 1.56057e+00, 2.58207e-04
67, 621, 2.12596e+00, 9.69751e+00, 2.10291e+01, 2.10291e+01, -2.05000e+02, 1.81965e-01, 1.80205e+00, 2.58207e-04
68, 627, 2.14650e+00, 9.73587e+00, 2.22847e+01, 2.22847e+01, -2.05000e+02, 1.06858e-01, 2.06241e+00, 2.58207e-04
69, 637, 2.18074e+00, 9.76097e+00, 2.39770e+01, 2.39770e+01, -2.05000e+02, 1.05181e-01, 2.32459e+00, 2.58207e-04
70, 644, 2.20470e+00, 9.80137e+00, 3.10191e+01, 3.10191e+01, -2.05000e+02, 1.10248e-01, 2.53362e+00, 2.58207e-04
71, 652, 2.23209e+00, 9.83890e+00, 2.98727e+01, 2.98727e+01, -2.05000e+02, 1.16564e-01, 2.81668e+00, 2.58207e-04
72, 661, 2.26290e+00, 9.88107e+00, 3.58776e+01, 3.58776e+01, -2.05000e+02, 1.33132e-01, 3.03658e+00, 2.58207e-04
73, 672, 2.30056e+00, 9.89922e+00, 3.78428e+01, 3.78428e+01, -2.05000e+02, 1.50298e-01, 2.80561e+00, 2.58207e-04
74, 680, 2.32794e+00, 9.90394e+00, 4.06815e+01, 4.06815e+01, -2.05000e+02, 1.54412e-01, 2.08979e+00, 2.58207e-04
75, 687, 2.35191e+00, 9.89749e+00, 4.08999e+01, 4.08999e+01, -2.05000e+02, 1.68850e-01, 1.58056e+00, 2.58207e-04
76, 694, 2.37587e+00, 9.86584e+00, 4.24284e+01, 4.24284e+01, -2.05000e+02, 1.87320e-01, 1.46545e+00, 2.58207e-04
77, 698, 2.38957e+00, 9.82034e+00, 4.46120e+01, 4.46120e+01, -2.05000e+02, 1.97708e-01, 1.22594e+00, 2.58207e-04
78, 707, 2.42038e+00, 9.78347e+00, 5.01256e+01, 5.01256e+01, -2.05000e+02, 2.17822e-01, 1.25116e+00, 2.58207e-04
79, 717, 2.45461e+00, 9.75405e+00, 5.42198e+01, 5.42198e+01, -2.05000e+02, 2.76151e-01, 1.31327e+00, 2.58207e-04
80, 725, 2.48200e+00, 9.74334e+00, 5.64580e+01, 5.64580e+01, -2.05000e+02, 3.54483e-01, 1.28420e+00, 2.58207e-04
81, 734, 2.51281e+00, 9.73686e+00, 6.18624e+01, 6.18624e+01, -2.05000e+02, 4.20981e-01, 1.39127e+00, 2.58207e-04
82, 740, 2.53335e+00, 9.72938e+00, 6.39248e+01, 6.39248e+01, -2.05000e+02, 4.60811e-01, 1.24063e+00, 2.58207e-04
83, 751, 2.57101e+00, 9.70871e+00, 6.38156e+01, 6.38156e+01, -2.05000e+02, 4.87350e-01, 1.37405e+00, 2.58207e-04
84, 761, 2.60524e+00, 9.69294e+00, 6.83466e+01, 6.83466e+01, -2.05000e+02, 4.98029e-01, 1.40081e+00, 2.58207e-04
85, 769, 2.63263e+00, 9.67676e+00, 6.92200e+01, 6.92200e+01, -2.05000e+02, 5.09753e-01, 1.51602e+00, 2.58207e-04
86, 778, 2.66344e+00, 9.66625e+00, 7.18949e+01, 7.18949e+01, -2.05000e+02, 5.46272e-01, 1.61536e+00, 2.58207e-04
87, 789, 2.70110e+00, 9.65724e+00, 7.53341e+01, 7.53341e+01, -2.05000e+02, 5.66540e-01, 1.65535e+00, 2.58207e-04
88, 796, 2.72506e+00, 9.65281e+00, 8.01380e+01, 8.01380e+01, -2.05000e+02, 5.90452e-01, 1.76317e+00, 2.58207e-04
89, 805, 2.75587e+00, 9.64445e+00, 8.16665e+01, 8.16665e+01, -2.05000e+02, 6.02484e-01, 1.75911e+00, 2.58207e-04
90, 814, 2.78669e+00, 9.63329e+00, 8.35772e+01, 8.35772e+01, -2.05000e+02, 6.15479e-01, 1.82967e+00, 2.58207e-04
91, 820, 2.80723e+00, 9.62692e+00, 8.52149e+01, 8.52149e+01, -2.05000e+02, 6.25610e-01, 1.87747e+00, 2.58207e-04
92, 829, 2.83804e+00, 9.61547e+00, 9.02917e+01, 9.02917e+01, -2.05000e+02, 6.39324e-01, 1.90093e+00, 2.58207e-04
93, 839, 2.87227e+00, 9.60617e+00, 9.18748e+01, 9.18748e+01, -2.05000e+02, 6.53159e-01, 1.95493e+00, 2.58207e-04
94, 847, 2.89966e+00, 9.59481e+00, 9.34034e+01, 9.34034e+01, -2.05000e+02, 6.61157e-01, 1.99084e+00, 2.58207e-04
95, 857, 2.93389e+00, 9.59027e+00, 9.68425e+01, 9.68425e+01, -2.05000e+02, 6.70945e-01, 2.01773e+00, 2.58207e-04
96, 865, 2.96128e+00, 9.59024e+00, 1.00882e+02, 1.00882e+02, -2.05000e+02, 6.84393e-01, 2.05802e+00, 2.58207e-04
97, 873, 2.98867e+00, 9.59044e+00, 1.05304e+02, 1.05304e+02, -2.05000e+02, 6.95304e-01, 2.10224e+00, 2.58207e-04
98, 882, 3.01948e+00, 9.58358e+00, 1.05304e+02, 1.05304e+02, -2.05000e+02, 7.06349e-01, 2.10847e+00, 2.58207e-04
99, 891, 3.05029e+00, 9.58081e+00, 1.07542e+02, 1.07542e+02, -2.05000e+02, 7.10438e-01, 2.15575e+00, 2.58207e-04
100, 902, 3.08795e+00, 9.57502e+00, 1.08961e+02, 1.08961e+02, -2.05000e+02, 7.11752e-01, 2.21698e+00, 2.58207e-04
101, 911, 3.11876e+00, 9.57254e+00, 1.13875e+02, 1.13875e+02, -2.05000e+02, 7.11306e-01, 2.21407e+00, 2.58207e-04
