controller=global horizon=1 threshold=0.1
step[s], count, density[car/km], speed[m/s], hamiltonian, xterm, sigmaterm, waiting rate, co2[kg/s], calc time
0, 1, 5.42259e-03, 1.01150e+01, 0.00000e+00, 0.00000e+00, 8.00000e+00, 1.00000e+00, 2.62472e-03, 1.59499e+02
1, 9, 4.88033e-02, 1.00999e+01, 4.91309e-01, 4.91309e-01, 8.00000e+00, 8.88889e-01, 2.47563e-02, 1.59499e+02
2, 18, 9.76066e-02, 1.00849e+01, 9.82619e-01, 9.82619e-01, 8.00000e+00, 5.00000e-01, 5.55046e-02, 1.59499e+02
3, 25, 1.35565e-01, 1.00766e+01, 1.36475e+00, 1.36475e+00, 8.00000e+00, 2.80000e-01, 9.15424e-02, 1.59499e+02
4, 33, 1.78946e-01, 1.00682e+01, 1.80147e+00, 1.80147e+00, 8.00000e+00, 2.42424e-01, 1.34297e-01, 1.59499e+02
5, 41, 2.22326e-01, 1.00631e+01, 2.34737e+00, 2.34737e+00, 8.00000e+00, 1.95122e-01, 1.81956e-01, 1.59499e+02
6, 50, 2.71130e-01, 1.00580e+01, 2.94786e+00, 2.94786e+00, 8.00000e+00, 1.80000e-01, 2.46900e-01, 1.59499e+02
7, 58, 3.14510e-01, 1.00564e+01, 3.16622e+00, 3.16622e+00, 8.00000e+00, 1.37931e-01, 2.93130e-01, 1.59499e+02
8, 69, 3.74159e-01, 1.00522e+01, 3.98506e+00, 3.98506e+00, 8.00000e+00, 1.59420e-01, 3.67105e-01, 1.59499e+02
9, 77, 4.17540e-01, 1.00504e+01, 4.20342e+00, 4.20342e+00, 8.00000e+00, 1.03896e-01, 3.72777e-01, 1.59499e+02
10, 84, 4.55498e-01, 1.00483e+01, 4.36719e+00, 4.36719e+00, 8.00000e+00, 8.33333e-02, 3.85729e-01, 1.59499e+02
11, 93, 5.04301e-01, 1.00410e+01, 4.74932e+00, 4.74932e+00, 8.00000e+00, 9.67742e-02, 3.90107e-01, 1.59499e+02
12, 103, 5.58527e-01, 1.00302e+01, 5.24063e+00, 5.24063e+00, 8.00000e+00, 9.70874e-02, 3.75562e-01, 1.59499e+02
13, 110, 5.96485e-01, 1.00240e+01, 5.67735e+00, 5.67735e+00, 8.00000e+00, 1.00000e-01, 4.04384e-01, 1.59499e+02
14, 119, 6.45288e-01, 1.00154e+01, 6.00489e+00, 6.00489e+00, 8.00000e+00, 1.26050e-01, 4.50087e-01, 1.59499e+02
15, 127, 6.88669e-01, 1.00104e+01, 6.71456e+00, 6.71456e+00, 8.00000e+00, 1.49606e-01, 4.54698e-01, 1.59499e+02
16, 136, 7.37472e-01, 1.00007e+01, 7.31505e+00, 7.31505e+00, 8.00000e+00, 1.76471e-01, 4.43283e-01, 1.59499e+02
17, 144, 7.80853e-01, 9.99252e+00, 7.58800e+00, 7.58800e+00, 8.00000e+00, 1.80556e-01, 4.47999e-01, 1.59499e+02
18, 152, 8.24234e-01, 9.98669e+00, 8.78898e+00, 8.78898e+00, 8.00000e+00, 1.90789e-01, 4.61949e-01, 1.59499e+02
19, 160, 8.67615e-01, 9.97987e+00, 9.66242e+00, 9.66242e+00, 8.00000e+00, 2.00000e-01, 4.86353e-01, 1.59499e+02
20, 169, 9.16418e-01, 9.96351e+00, 9.44406e+00, 9.44406e+00, 8.00000e+00, 2.24852e-01, 4.82795e-01, 1.59499e+02
21, 177, 9.59799e-01, 9.94982e+00, 1.00445e+01, 1.00445e+01, 8.00000e+00, 2.42938e-01, 4.95519e-01, 1.59499e+02
22, 186, 1.00860e+00, 9.94036e+00, 9.98996e+00, 9.98996e+00, 8.00000e+00, 2.68817e-01, 5.57022e-01, 1.59499e+02
23, 191, 1.03571e+00, 9.93419e+00, 1.12455e+01, 1.12455e+01, 8.00000e+00, 2.82723e-01, 5.36632e-01, 1.59499e+02
24, 200, 1.08452e+00, 9.92985e+00, 1.16277e+01, 1.16277e+01, 8.00000e+00, 3.20000e-01, 5.60606e-01, 1.59499e+02
25, 209, 1.13332e+00, 9.91743e+00, 1.28286e+01, 1.28286e+01, 8.00000e+00, 3.44498e-01, 5.26144e-01, 1.59499e+02
