controller=global horizon=1 threshold=0.1
step[s], count, density[car/km], speed[m/s], hamiltonian, xterm, sigmaterm, waiting rate, co2[kg/s], calc time
0, 1, 3.42345e-03, 1.01039e+01, 0.00000e+00, 0.00000e+00, 7.00000e+00, 1.00000e+00, 2.62472e-03, 3.77618e+02
1, 18, 6.16220e-02, 1.00835e+01, 9.82619e-01, 9.82619e-01, 7.00000e+00, 9.44444e-01, 4.76822e-02, 3.77618e+02
2, 35, 1.19821e-01, 1.00662e+01, 1.91065e+00, 1.91065e+00, 7.00000e+00, 4.85714e-01, 1.08903e-01, 3.77618e+02
3, 52, 1.78019e-01, 1.00528e+01, 3.05704e+00, 3.05704e+00, 7.00000e+00, 3.26923e-01, 1.85039e-01, 3.77618e+02
4, 70, 2.39641e-01, 1.00408e+01, 4.14883e+00, 4.14883e+00, 7.00000e+00, 2.57143e-01, 2.77982e-01, 3.77618e+02
5, 87, 2.97840e-01, 1.00316e+01, 4.96768e+00, 4.96768e+00, 7.00000e+00, 1.95402e-01, 3.76989e-01, 3.77618e+02
6, 105, 3.59462e-01, 1.00252e+01, 5.95030e+00, 5.95030e+00, 7.00000e+00, 1.71429e-01, 5.02851e-01, 3.77618e+02
7, 122, 4.17660e-01, 1.00230e+01, 6.87833e+00, 6.87833e+00, 7.00000e+00, 1.39344e-01, 6.41444e-01, 3.77618e+02
8, 141, 4.82706e-01, 1.00208e+01, 8.35226e+00, 8.35226e+00, 7.00000e+00, 1.34752e-01, 7.16291e-01, 3.77618e+02
9, 157, 5.37481e-01, 1.00208e+01, 9.55324e+00, 9.55324e+00, 7.00000e+00, 1.01911e-01, 7.82870e-01, 3.77618e+02
10, 175, 5.99103e-01, 1.00129e+01, 1.03721e+01, 1.03721e+01, 7.00000e+00, 1.02857e-01, 7.91136e-01, 3.77618e+02
11, 191, 6.53878e-01, 1.00064e+01, 1.06450e+01, 1.06450e+01, 7.00000e+00, 8.37696e-02, 8.07821e-01, 3.77618e+02
12, 208, 7.12077e-01, 1.00010e+01, 1.13547e+01, 1.13547e+01, 7.00000e+00, 9.13462e-02, 8.70186e-01, 3.77618e+02
13, 224, 7.66852e-01, 9.99068e+00, 1.23373e+01, 1.23373e+01, 7.00000e+00, 1.02679e-01, 8.17693e-01, 3.77618e+02
14, 244, 8.35321e-01, 9.97667e+00, 1.34291e+01, 1.34291e+01, 7.00000e+00, 1.27049e-01, 8.44744e-01, 3.77618e+02
15, 263, 9.00366e-01, 9.95862e+00, 1.44117e+01, 1.44117e+01, 7.00000e+00, 1.44487e-01, 8.59690e-01, 3.77618e+02
