controller=global horizon=1 threshold=0.1
step[s], count, density[car/km], speed[m/s], hamiltonian, xterm, sigmaterm, waiting rate, co2[kg/s]
35, 222, 1.20382e+00, 9.87391e+00, 1.26103e+01, 1.26103e+01, 8.00000e+00, 4.77477e-01, 5.54148e-01, 0.00000e+00
36, 229, 1.24177e+00, 9.86207e+00, 1.38112e+01, 1.38112e+01, 8.00000e+00, 4.97817e-01, 5.73973e-01, 0.00000e+00
37, 236, 1.27973e+00, 9.85270e+00, 1.39750e+01, 1.39750e+01, 8.00000e+00, 4.91525e-01, 5.90079e-01, 0.00000e+00
38, 242, 1.31227e+00, 9.84491e+00, 1.49576e+01, 1.49576e+01, 8.00000e+00, 5.12397e-01, 6.37683e-01, 0.00000e+00
39, 247, 1.33938e+00, 9.83641e+00, 1.53398e+01, 1.53398e+01, 8.00000e+00, 5.22267e-01, 6.13677e-01, 0.00000e+00
40, 255, 1.38276e+00, 9.83058e+00, 1.61586e+01, 1.61586e+01, 8.00000e+00, 5.33333e-01, 6.72055e-01, 0.00000e+00
41, 261, 1.41530e+00, 9.82229e+00, 1.76871e+01, 1.76871e+01, 8.00000e+00, 5.47893e-01, 6.41351e-01, 0.00000e+00
42, 266, 1.44241e+00, 9.82103e+00, 1.81784e+01, 1.81784e+01, 8.00000e+00, 5.48872e-01, 6.83538e-01, 0.00000e+00
43, 272, 1.47494e+00, 9.81233e+00, 1.88335e+01, 1.88335e+01, 8.00000e+00, 5.55147e-01, 6.68154e-01, 0.00000e+00
44, 279, 1.51290e+00, 9.79952e+00, 1.96524e+01, 1.96524e+01, 8.00000e+00, 5.55556e-01, 7.14446e-01, 0.00000e+00
45, 285, 1.54544e+00, 9.79075e+00, 2.05804e+01, 2.05804e+01, 8.00000e+00, 5.71930e-01, 7.61535e-01, 0.00000e+00
46, 293, 1.58882e+00, 9.78327e+00, 2.08533e+01, 2.08533e+01, 8.00000e+00, 5.80205e-01, 7.79716e-01, 0.00000e+00
47, 299, 1.62135e+00, 9.78115e+00, 2.18906e+01, 2.18906e+01, 8.00000e+00, 5.78595e-01, 7.77640e-01, 0.00000e+00
48, 306, 1.65931e+00, 9.77182e+00, 2.32007e+01, 2.32007e+01, 8.00000e+00, 5.88235e-01, 7.81292e-01, 0.00000e+00
49, 312, 1.69185e+00, 9.76631e+00, 2.44563e+01, 2.44563e+01, 8.00000e+00, 5.89744e-01, 8.15985e-01, 0.00000e+00
50, 318, 1.72438e+00, 9.75810e+00, 2.56573e+01, 2.56573e+01, 8.00000e+00, 5.91195e-01, 8.14160e-01, 0.00000e+00
51, 324, 1.75692e+00, 9.75600e+00, 2.63669e+01, 2.63669e+01, 8.00000e+00, 6.14198e-01, 8.85894e-01, 0.00000e+00
52, 331, 1.79488e+00, 9.74634e+00, 2.69674e+01, 2.69674e+01, 8.00000e+00, 6.25378e-01, 8.24973e-01, 0.00000e+00
53, 337, 1.82741e+00, 9.74073e+00, 2.82230e+01, 2.82230e+01, 8.00000e+00, 6.23145e-01, 8.71882e-01, 0.00000e+00
54, 344, 1.86537e+00, 9.73115e+00, 2.88235e+01, 2.88235e+01, 8.00000e+00, 6.25000e-01, 8.88415e-01, 0.00000e+00
55, 350, 1.89791e+00, 9.72063e+00, 2.92602e+01, 2.92602e+01, 8.00000e+00, 6.22857e-01, 8.81593e-01, 0.00000e+00
56, 356, 1.93044e+00, 9.70607e+00, 2.97515e+01, 2.97515e+01, 8.00000e+00, 6.37640e-01, 8.70445e-01, 0.00000e+00
57, 363, 1.96840e+00, 9.69704e+00, 3.07887e+01, 3.07887e+01, 8.00000e+00, 6.39118e-01, 8.93577e-01, 0.00000e+00
58, 369, 2.00094e+00, 9.68930e+00, 3.12254e+01, 3.12254e+01, 8.00000e+00, 6.63957e-01, 9.24247e-01, 0.00000e+00
59, 376, 2.03889e+00, 9.68341e+00, 3.19897e+01, 3.19897e+01, 8.00000e+00, 6.64894e-01, 9.42158e-01, 0.00000e+00
60, 381, 2.06601e+00, 9.67708e+00, 0.00000e+00, 0.00000e+00, 1.36000e+02, 6.79790e-01, 9.52391e-01, 0.00000e+00
61, 387, 2.09854e+00, 9.66681e+00, 3.41187e+01, 3.41187e+01, 1.36000e+02, 6.82171e-01, 9.94293e-01, 0.00000e+00
62, 393, 2.13108e+00, 9.66058e+00, 3.50467e+01, 3.50467e+01, 1.36000e+02, 6.92112e-01, 9.49008e-01, 0.00000e+00
63, 399, 2.16361e+00, 9.65728e+00, 3.65752e+01, 3.65752e+01, 1.36000e+02, 7.06767e-01, 1.03048e+00, 0.00000e+00
64, 404, 2.19073e+00, 9.65046e+00, 3.70120e+01, 3.70120e+01, 1.36000e+02, 7.02970e-01, 1.02504e+00, 0.00000e+00
65, 409, 2.21784e+00, 9.63879e+00, 3.76125e+01, 3.76125e+01, 1.36000e+02, 7.23716e-01, 9.99814e-01, 0.00000e+00
66, 416, 2.25580e+00, 9.63104e+00, 3.78854e+01, 3.78854e+01, 1.36000e+02, 7.30769e-01, 1.05028e+00, 0.00000e+00
67, 422, 2.28833e+00, 9.57723e+00, 1.43571e+01, 1.43571e+01, 1.36000e+02, 2.48815e-01, 1.25562e+00, 0.00000e+00
