controller=global horizon=1 threshold=0.1
step[s], count, density[car/km], speed[m/s], hamiltonian, xterm, sigmaterm, waiting rate, co2[kg/s], calc time, effective time
36, 152, 1.92472e+00, 9.80306e+00, 1.95892e+00, 1.95892e+00, -1.80000e+01, 2.23684e-01, 3.43776e-01, 2.80299e-02, 2.80299e-02
37, 158, 2.00070e+00, 9.78283e+00, 2.08665e+00, 2.08665e+00, -1.80000e+01, 2.46835e-01, 3.86953e-01, 2.80299e-02, 2.80299e-02
38, 162, 2.05135e+00, 9.75047e+00, 2.09562e+00, 2.09562e+00, -1.80000e+01, 2.65432e-01, 4.05410e-01, 2.80299e-02, 2.80299e-02
39, 166, 2.10200e+00, 9.73257e+00, 2.23496e+00, 2.23496e+00, -1.80000e+01, 2.65060e-01, 4.23727e-01, 2.80299e-02, 2.80299e-02
40, 169, 2.13999e+00, 9.72714e+00, 2.38591e+00, 2.38591e+00, -1.80000e+01, 2.66272e-01, 4.40937e-01, 2.80299e-02, 2.80299e-02
41, 174, 2.20330e+00, 9.69838e+00, 2.52526e+00, 2.52526e+00, -1.80000e+01, 3.04598e-01, 4.37899e-01, 2.80299e-02, 2.80299e-02
42, 178, 2.25395e+00, 9.68466e+00, 2.64138e+00, 2.64138e+00, -1.80000e+01, 3.20225e-01, 4.04158e-01, 2.80299e-02, 2.80299e-02
43, 182, 2.30460e+00, 9.65284e+00, 2.79498e+00, 2.79498e+00, -1.80000e+01, 3.35165e-01, 4.01844e-01, 2.80299e-02, 2.80299e-02
44, 186, 2.35525e+00, 9.64836e+00, 2.91110e+00, 2.91110e+00, -1.80000e+01, 3.49462e-01, 4.48909e-01, 2.80299e-02, 2.80299e-02
45, 191, 2.41856e+00, 9.62799e+00, 3.60781e+00, 3.60781e+00, -1.80000e+01, 3.66492e-01, 3.95377e-01, 2.80299e-02, 2.80299e-02
46, 196, 2.48188e+00, 9.63127e+00, 3.86327e+00, 3.86327e+00, -1.80000e+01, 3.67347e-01, 5.10490e-01, 2.80299e-02, 2.80299e-02
