controller=local horizon=1 threshold=0.0
step[s], count, density[car/km], speed[m/s], hamiltonian, xterm, sigmaterm, waiting rate, co2[kg/s]
0, 1, 1.08450e-01, 1.02473e+01, 0.00000e+00, 0.00000e+00, -1.90000e+01, 1.00000e+00, 2.62472e-03
1, 1, 1.08450e-01, 1.02536e+01, 5.45899e-02, 5.45899e-02, -1.90000e+01, 0.00000e+00, 3.33187e-03
2, 2, 2.16899e-01, 1.02130e+01, 2.18360e-01, 2.18360e-01, -1.90000e+01, 5.00000e-01, 6.49904e-03
3, 3, 3.25349e-01, 1.01766e+01, 2.72950e-01, 2.72950e-01, -1.90000e+01, 3.33333e-01, 9.90186e-03
4, 4, 4.33798e-01, 1.01510e+01, 3.27540e-01, 3.27540e-01, -1.90000e+01, 2.50000e-01, 1.68810e-02
5, 4, 4.33798e-01, 1.01739e+01, 3.27540e-01, 3.27540e-01, -1.90000e+01, 0.00000e+00, 1.73476e-02
6, 5, 5.42248e-01, 1.01574e+01, 3.82129e-01, 3.82129e-01, -1.90000e+01, 2.00000e-01, 2.83942e-02
7, 6, 6.50697e-01, 1.01423e+01, 4.36719e-01, 4.36719e-01, -1.90000e+01, 1.66667e-01, 3.14658e-02
8, 7, 7.59147e-01, 1.01324e+01, 4.91309e-01, 4.91309e-01, -1.90000e+01, 1.42857e-01, 3.64548e-02
9, 7, 7.59147e-01, 1.01730e+01, 4.91309e-01, 4.91309e-01, -1.90000e+01, 0.00000e+00, 4.10684e-02
10, 8, 8.67596e-01, 1.01608e+01, 3.82129e-01, 3.82129e-01, -1.90000e+01, 1.25000e-01, 4.27848e-02
11, 9, 9.76046e-01, 1.01682e+01, 7.64259e-01, 7.64259e-01, -1.90000e+01, 1.11111e-01, 3.39237e-02
12, 9, 9.76046e-01, 1.01506e+01, 7.64259e-01, 7.64259e-01, -1.90000e+01, 1.11111e-01, 3.58542e-02
13, 9, 9.76046e-01, 1.01813e+01, 7.09669e-01, 7.09669e-01, -1.90000e+01, 0.00000e+00, 4.25035e-02
14, 10, 1.08450e+00, 1.01522e+01, 9.82619e-01, 9.82619e-01, -1.90000e+01, 1.00000e-01, 3.67394e-02
15, 11, 1.19294e+00, 1.01271e+01, 9.82619e-01, 9.82619e-01, -1.90000e+01, 1.81818e-01, 3.98781e-02
16, 12, 1.30139e+00, 1.01022e+01, 1.25557e+00, 1.25557e+00, -1.90000e+01, 1.66667e-01, 4.00337e-02
17, 11, 1.19294e+00, 1.01378e+01, 9.82619e-01, 9.82619e-01, -1.90000e+01, 9.09091e-02, 4.26237e-02
18, 12, 1.30139e+00, 1.01061e+01, 1.10302e+00, 1.10302e+00, -1.90000e+01, 1.66667e-01, 4.23547e-02
19, 13, 1.40984e+00, 1.01123e+01, 1.48515e+00, 1.48515e+00, -1.90000e+01, 1.53846e-01, 4.12378e-02
20, 13, 1.40984e+00, 1.01016e+01, 1.04843e+00, 1.04843e+00, -1.90000e+01, 1.53846e-01, 5.87732e-02
21, 13, 1.40984e+00, 1.01335e+01, 1.04843e+00, 1.04843e+00, -1.90000e+01, 7.69231e-02, 5.20510e-02
22, 14, 1.51829e+00, 1.00865e+01, 1.26679e+00, 1.26679e+00, -1.90000e+01, 1.42857e-01, 4.93980e-02
23, 15, 1.62674e+00, 1.00712e+01, 9.93840e-01, 9.93840e-01, -1.90000e+01, 1.33333e-01, 5.67914e-02
24, 16, 1.73519e+00, 1.00006e+01, 1.06045e+00, 1.06045e+00, -1.90000e+01, 1.87500e-01, 4.38453e-02
25, 16, 1.73519e+00, 9.96449e+00, 1.00586e+00, 1.00586e+00, -1.90000e+01, 1.25000e-01, 3.65034e-02
26, 17, 1.84364e+00, 9.91123e+00, 8.42093e-01, 8.42093e-01, -1.90000e+01, 2.35294e-01, 4.67121e-02
27, 18, 1.95209e+00, 9.87587e+00, 1.12626e+00, 1.12626e+00, -1.90000e+01, 2.77778e-01, 5.83986e-02
28, 19, 2.06054e+00, 9.85387e+00, 1.39921e+00, 1.39921e+00, -1.90000e+01, 3.15789e-01, 4.32812e-02
29, 19, 2.06054e+00, 9.92118e+00, 1.39921e+00, 1.39921e+00, -1.90000e+01, 3.68421e-01, 6.90164e-02
30, 20, 2.16899e+00, 9.90786e+00, 1.50839e+00, 1.50839e+00, -1.90000e+01, 4.00000e-01, 6.43823e-02
31, 21, 2.27744e+00, 9.88360e+00, 1.66707e+00, 1.66707e+00, -1.90000e+01, 3.80952e-01, 4.82125e-02
32, 21, 2.27744e+00, 9.86070e+00, 1.44872e+00, 1.44872e+00, -1.90000e+01, 3.80952e-01, 7.28019e-02
33, 19, 2.06054e+00, 9.88564e+00, 1.50331e+00, 1.50331e+00, -1.90000e+01, 3.68421e-01, 5.55593e-02
34, 20, 2.16899e+00, 9.84291e+00, 1.44872e+00, 1.44872e+00, -1.90000e+01, 4.00000e-01, 5.50095e-02
35, 21, 2.27744e+00, 9.79585e+00, 1.61248e+00, 1.61248e+00, -1.90000e+01, 3.80952e-01, 4.78369e-02
36, 22, 2.38589e+00, 9.78901e+00, 1.58543e+00, 1.58543e+00, -1.90000e+01, 4.09091e-01, 6.14989e-02
37, 21, 2.27744e+00, 9.83536e+00, 1.64002e+00, 1.64002e+00, -1.90000e+01, 3.80952e-01, 6.98827e-02
38, 21, 2.27744e+00, 9.78192e+00, 1.58543e+00, 1.58543e+00, -1.90000e+01, 4.76190e-01, 5.61403e-02
39, 22, 2.38589e+00, 9.74794e+00, 1.47625e+00, 1.47625e+00, -1.90000e+01, 4.54545e-01, 5.60075e-02
40, 22, 2.38589e+00, 9.77990e+00, 1.53084e+00, 1.53084e+00, -1.90000e+01, 4.09091e-01, 7.38066e-02
41, 23, 2.49434e+00, 9.80333e+00, 1.40963e+00, 1.40963e+00, -1.90000e+01, 4.78261e-01, 7.02846e-02
42, 22, 2.38589e+00, 9.83152e+00, 1.57340e+00, 1.57340e+00, -1.90000e+01, 4.54545e-01, 6.95254e-02
43, 22, 2.38589e+00, 9.79514e+00, 1.57340e+00, 1.57340e+00, -1.90000e+01, 5.00000e-01, 6.09668e-02
44, 24, 2.60279e+00, 9.75675e+00, 1.62799e+00, 1.62799e+00, -1.90000e+01, 5.00000e-01, 5.99503e-02
45, 24, 2.60279e+00, 9.73428e+00, 1.53974e+00, 1.53974e+00, -1.90000e+01, 4.16667e-01, 6.66321e-02
46, 25, 2.71124e+00, 9.72851e+00, 1.81269e+00, 1.81269e+00, -1.90000e+01, 4.40000e-01, 7.76431e-02
47, 25, 2.71124e+00, 9.69504e+00, 1.59433e+00, 1.59433e+00, -1.90000e+01, 4.80000e-01, 7.65955e-02
48, 25, 2.71124e+00, 9.71734e+00, 1.64892e+00, 1.64892e+00, -1.90000e+01, 4.80000e-01, 7.35876e-02
49, 24, 2.60279e+00, 9.74598e+00, 1.53974e+00, 1.53974e+00, -1.90000e+01, 5.00000e-01, 7.51804e-02
50, 26, 2.81969e+00, 9.71072e+00, 1.82471e+00, 1.82471e+00, -1.90000e+01, 5.38462e-01, 7.52605e-02
51, 27, 2.92814e+00, 9.74649e+00, 1.87930e+00, 1.87930e+00, -1.90000e+01, 4.81481e-01, 8.03339e-02
52, 28, 3.03659e+00, 9.66446e+00, 1.55176e+00, 1.55176e+00, -1.90000e+01, 4.64286e-01, 6.65322e-02
53, 27, 2.92814e+00, 9.66642e+00, 1.70431e+00, 1.70431e+00, -1.90000e+01, 4.44444e-01, 8.07923e-02
54, 27, 2.92814e+00, 9.66475e+00, 2.03185e+00, 2.03185e+00, -1.90000e+01, 4.81481e-01, 8.60392e-02
55, 28, 3.03659e+00, 9.61219e+00, 1.97726e+00, 1.97726e+00, -1.90000e+01, 5.00000e-01, 8.03267e-02
56, 29, 3.14504e+00, 9.59342e+00, 2.19562e+00, 2.19562e+00, -1.90000e+01, 5.17241e-01, 9.46038e-02
57, 29, 3.14504e+00, 9.62785e+00, 2.30480e+00, 2.30480e+00, -1.90000e+01, 4.82759e-01, 9.07284e-02
58, 28, 3.03659e+00, 9.67895e+00, 2.41398e+00, 2.41398e+00, -1.90000e+01, 5.35714e-01, 9.75501e-02
59, 30, 3.25349e+00, 9.60363e+00, 2.35939e+00, 2.35939e+00, -1.90000e+01, 5.66667e-01, 8.36306e-02
60, 31, 3.36194e+00, 9.61913e+00, 0.00000e+00, 0.00000e+00, -3.00000e+00, 5.16129e-01, 8.57785e-02
61, 31, 3.36194e+00, 9.64918e+00, 3.23283e+00, 3.23283e+00, -3.00000e+00, 4.83871e-01, 9.38026e-02
62, 31, 3.36194e+00, 9.67031e+00, 3.56037e+00, 3.56037e+00, -3.00000e+00, 4.83871e-01, 9.02420e-02
63, 32, 3.47038e+00, 9.65415e+00, 4.10627e+00, 4.10627e+00, -3.00000e+00, 5.31250e-01, 7.02768e-02
64, 34, 3.68728e+00, 9.60308e+00, 4.54299e+00, 4.54299e+00, -3.00000e+00, 5.29412e-01, 9.57519e-02
65, 34, 3.68728e+00, 9.59504e+00, 4.21545e+00, 4.21545e+00, -3.00000e+00, 4.70588e-01, 9.70097e-02
