controller=local horizon=1 threshold=0.0
step[s], count, density[car/km], speed[m/s], hamiltonian, xterm, sigmaterm, waiting rate, co2[kg/s]
0, 1, 7.14310e-02, 1.02254e+01, 0.00000e+00, 0.00000e+00, -3.20000e+01, 1.00000e+00, 2.62472e-03
1, 5, 3.57155e-01, 1.01141e+01, 2.72950e-01, 2.72950e-01, -3.20000e+01, 8.00000e-01, 1.40921e-02
2, 10, 7.14310e-01, 9.99307e+00, 5.45899e-01, 5.45899e-01, -3.20000e+01, 5.00000e-01, 3.27422e-02
3, 15, 1.07147e+00, 9.88700e+00, 1.09180e+00, 1.09180e+00, -3.20000e+01, 3.33333e-01, 5.21361e-02
4, 20, 1.42862e+00, 9.80710e+00, 1.52852e+00, 1.52852e+00, -3.20000e+01, 2.50000e-01, 8.20712e-02
5, 25, 1.78578e+00, 9.74271e+00, 1.36475e+00, 1.36475e+00, -3.20000e+01, 2.00000e-01, 1.08753e-01
6, 28, 2.00007e+00, 9.75498e+00, 1.31016e+00, 1.31016e+00, -3.20000e+01, 1.07143e-01, 1.38794e-01
7, 30, 2.14293e+00, 9.81388e+00, 1.41934e+00, 1.41934e+00, -3.20000e+01, 6.66667e-02, 1.72261e-01
8, 36, 2.57152e+00, 9.86029e+00, 1.63770e+00, 1.63770e+00, -3.20000e+01, 1.66667e-01, 1.91500e-01
9, 39, 2.78581e+00, 9.91366e+00, 1.91065e+00, 1.91065e+00, -3.20000e+01, 7.69231e-02, 2.06988e-01
10, 43, 3.07153e+00, 9.87943e+00, 1.80147e+00, 1.80147e+00, -3.20000e+01, 9.30233e-02, 1.90607e-01
11, 47, 3.35726e+00, 9.79261e+00, 2.40196e+00, 2.40196e+00, -3.20000e+01, 8.51064e-02, 1.78943e-01
12, 52, 3.71441e+00, 9.71271e+00, 3.05704e+00, 3.05704e+00, -3.20000e+01, 1.15385e-01, 1.77294e-01
13, 57, 4.07157e+00, 9.67576e+00, 3.16622e+00, 3.16622e+00, -3.20000e+01, 1.40351e-01, 1.95824e-01
14, 59, 4.21443e+00, 9.68396e+00, 3.27540e+00, 3.27540e+00, -3.20000e+01, 1.18644e-01, 2.17948e-01
15, 63, 4.50015e+00, 9.63886e+00, 3.06906e+00, 3.06906e+00, -3.20000e+01, 1.74603e-01, 2.27920e-01
16, 68, 4.85731e+00, 9.63832e+00, 3.99709e+00, 3.99709e+00, -3.20000e+01, 1.76471e-01, 2.35888e-01
17, 72, 5.14303e+00, 9.56438e+00, 4.43381e+00, 4.43381e+00, -3.20000e+01, 1.80556e-01, 2.40908e-01
18, 77, 5.50019e+00, 9.49691e+00, 4.63365e+00, 4.63365e+00, -3.20000e+01, 1.81818e-01, 2.65045e-01
19, 82, 5.85734e+00, 9.55449e+00, 5.88921e+00, 5.88921e+00, -3.20000e+01, 1.82927e-01, 2.87193e-01
20, 87, 6.21450e+00, 9.52769e+00, 5.57370e+00, 5.57370e+00, -3.20000e+01, 1.83908e-01, 3.07573e-01
21, 93, 6.64308e+00, 9.54177e+00, 4.86403e+00, 4.86403e+00, -3.20000e+01, 1.82796e-01, 3.31959e-01
22, 98, 7.00024e+00, 9.53587e+00, 5.19709e+00, 5.19709e+00, -3.20000e+01, 1.73469e-01, 3.35867e-01
23, 103, 7.35740e+00, 9.42821e+00, 5.31298e+00, 5.31298e+00, -3.20000e+01, 1.84466e-01, 3.32193e-01
24, 105, 7.50026e+00, 9.40887e+00, 4.91903e+00, 4.91903e+00, -3.20000e+01, 1.90476e-01, 3.37419e-01
25, 111, 7.92884e+00, 9.44995e+00, 6.17460e+00, 6.17460e+00, -3.20000e+01, 2.07207e-01, 3.39702e-01
