controller=random horizon=1 threshold=0.1
step[s], count, density[car/km], speed[m/s], hamiltonian, xterm, sigmaterm, waiting rate, co2[kg/s], calc time, effective time
0, 1, 3.17034e-02, 1.02139e+01, 0.00000e+00, 0.00000e+00, -2.80000e+01, 1.00000e+00, 2.62472e-03, 3.28541e-04, 3.28541e-04
1, 2, 6.34067e-02, 1.02030e+01, 1.09180e-01, 1.09180e-01, -2.80000e+01, 5.00000e-01, 5.76812e-03, 3.28541e-04, 3.28541e-04
2, 3, 9.51101e-02, 1.01944e+01, 1.63770e-01, 1.63770e-01, -2.80000e+01, 3.33333e-01, 1.07283e-02, 3.28541e-04, 3.28541e-04
3, 5, 1.58517e-01, 1.01745e+01, 2.72950e-01, 2.72950e-01, -2.80000e+01, 4.00000e-01, 1.74246e-02, 3.28541e-04, 3.28541e-04
4, 6, 1.90220e-01, 1.01720e+01, 2.18360e-01, 2.18360e-01, -2.80000e+01, 1.66667e-01, 2.66298e-02, 3.28541e-04, 3.28541e-04
5, 8, 2.53627e-01, 1.01576e+01, 2.84973e-01, 2.84973e-01, -2.80000e+01, 2.50000e-01, 3.59102e-02, 3.28541e-04, 3.28541e-04
6, 9, 2.85330e-01, 1.01597e+01, 2.30383e-01, 2.30383e-01, -2.80000e+01, 1.11111e-01, 4.72132e-02, 3.28541e-04, 3.28541e-04
7, 11, 3.48737e-01, 1.01493e+01, 3.39562e-01, 3.39562e-01, -2.80000e+01, 1.81818e-01, 5.38442e-02, 3.28541e-04, 3.28541e-04
8, 12, 3.80440e-01, 1.01530e+01, 3.94152e-01, 3.94152e-01, -2.80000e+01, 8.33333e-02, 6.38606e-02, 3.28541e-04, 3.28541e-04
9, 14, 4.43847e-01, 1.01520e+01, 5.57922e-01, 5.57922e-01, -2.80000e+01, 1.42857e-01, 6.90814e-02, 3.28541e-04, 3.28541e-04
10, 15, 4.75550e-01, 1.01552e+01, 6.67102e-01, 6.67102e-01, -2.80000e+01, 6.66667e-02, 7.62594e-02, 3.28541e-04, 3.28541e-04
11, 17, 5.38957e-01, 1.01351e+01, 7.21692e-01, 7.21692e-01, -2.80000e+01, 1.17647e-01, 6.26682e-02, 3.28541e-04, 3.28541e-04
12, 18, 5.70660e-01, 1.01317e+01, 7.21692e-01, 7.21692e-01, -2.80000e+01, 5.55556e-02, 7.02950e-02, 3.28541e-04, 3.28541e-04
13, 20, 6.34067e-01, 1.01228e+01, 1.04923e+00, 1.04923e+00, -2.80000e+01, 1.00000e-01, 7.46922e-02, 3.28541e-04, 3.28541e-04
14, 21, 6.65771e-01, 1.01123e+01, 1.15841e+00, 1.15841e+00, -2.80000e+01, 9.52381e-02, 6.90099e-02, 3.28541e-04, 3.28541e-04
15, 23, 7.29177e-01, 1.00971e+01, 1.26759e+00, 1.26759e+00, -2.80000e+01, 1.30435e-01, 8.72451e-02, 3.28541e-04, 3.28541e-04
16, 24, 7.60881e-01, 1.00897e+01, 1.32218e+00, 1.32218e+00, -2.80000e+01, 8.33333e-02, 7.36320e-02, 3.28541e-04, 3.28541e-04
17, 26, 8.24287e-01, 1.00856e+01, 1.10382e+00, 1.10382e+00, -2.80000e+01, 1.53846e-01, 8.79293e-02, 3.28541e-04, 3.28541e-04
18, 27, 8.55991e-01, 1.00856e+01, 1.21300e+00, 1.21300e+00, -2.80000e+01, 1.48148e-01, 8.39882e-02, 3.28541e-04, 3.28541e-04
19, 29, 9.19397e-01, 1.00741e+01, 1.43136e+00, 1.43136e+00, -2.80000e+01, 2.06897e-01, 1.00412e-01, 3.28541e-04, 3.28541e-04
20, 30, 9.51101e-01, 1.00766e+01, 1.64972e+00, 1.64972e+00, -2.80000e+01, 1.66667e-01, 9.23126e-02, 3.28541e-04, 3.28541e-04
21, 32, 1.01451e+00, 1.00600e+01, 1.75890e+00, 1.75890e+00, -2.80000e+01, 1.87500e-01, 1.07937e-01, 3.28541e-04, 3.28541e-04
22, 32, 1.01451e+00, 1.00697e+01, 1.81349e+00, 1.81349e+00, -2.80000e+01, 1.56250e-01, 9.90206e-02, 3.28541e-04, 3.28541e-04
23, 34, 1.07791e+00, 1.00610e+01, 1.97726e+00, 1.97726e+00, -2.80000e+01, 2.05882e-01, 9.35888e-02, 3.28541e-04, 3.28541e-04
24, 35, 1.10962e+00, 1.00503e+01, 1.69229e+00, 1.69229e+00, -2.80000e+01, 2.57143e-01, 1.14897e-01, 3.28541e-04, 3.28541e-04
25, 37, 1.17302e+00, 1.00223e+01, 1.80147e+00, 1.80147e+00, -2.80000e+01, 2.43243e-01, 9.01269e-02, 3.28541e-04, 3.28541e-04
