controller=local horizon=1 threshold=0.0
step[s], count, density[car/km], speed[m/s], hamiltonian, xterm, sigmaterm, waiting rate, co2[kg/s]
0, 1, 5.42259e-03, 1.01150e+01, 0.00000e+00, 0.00000e+00, -3.96000e+02, 1.00000e+00, 2.62472e-03
1, 13, 7.04937e-02, 1.00921e+01, 7.09669e-01, 7.09669e-01, -3.96000e+02, 9.23077e-01, 3.49294e-02
2, 25, 1.35565e-01, 1.00725e+01, 1.36475e+00, 1.36475e+00, -3.96000e+02, 4.80000e-01, 7.77236e-02
3, 36, 1.95213e-01, 1.00582e+01, 1.96524e+00, 1.96524e+00, -3.96000e+02, 3.05556e-01, 1.26325e-01
4, 47, 2.54862e-01, 1.00470e+01, 2.56573e+00, 2.56573e+00, -3.96000e+02, 2.34043e-01, 1.89137e-01
5, 58, 3.14510e-01, 1.00388e+01, 2.94786e+00, 2.94786e+00, -3.96000e+02, 1.89655e-01, 2.60139e-01
6, 71, 3.85004e-01, 1.00311e+01, 3.43916e+00, 3.43916e+00, -3.96000e+02, 1.83099e-01, 3.48693e-01
7, 84, 4.55498e-01, 1.00281e+01, 4.14883e+00, 4.14883e+00, -3.96000e+02, 1.54762e-01, 4.41676e-01
8, 96, 5.20569e-01, 1.00283e+01, 5.02227e+00, 5.02227e+00, -3.96000e+02, 1.25000e-01, 5.16926e-01
9, 107, 5.80217e-01, 1.00255e+01, 5.51358e+00, 5.51358e+00, -3.96000e+02, 1.02804e-01, 5.20251e-01
10, 119, 6.45288e-01, 1.00181e+01, 5.73194e+00, 5.73194e+00, -3.96000e+02, 1.00840e-01, 5.20562e-01
11, 131, 7.10359e-01, 1.00073e+01, 6.44161e+00, 6.44161e+00, -3.96000e+02, 9.16031e-02, 5.35071e-01
12, 143, 7.75431e-01, 9.99280e+00, 6.55079e+00, 6.55079e+00, -3.96000e+02, 9.09091e-02, 5.73281e-01
13, 155, 8.40502e-01, 9.98670e+00, 7.53341e+00, 7.53341e+00, -3.96000e+02, 9.67742e-02, 5.82309e-01
14, 167, 9.05573e-01, 9.97719e+00, 8.29767e+00, 8.29767e+00, -3.96000e+02, 1.49701e-01, 6.34970e-01
15, 179, 9.70644e-01, 9.96537e+00, 9.11652e+00, 9.11652e+00, -3.96000e+02, 1.56425e-01, 6.03129e-01
16, 190, 1.03029e+00, 9.95614e+00, 9.77160e+00, 9.77160e+00, -3.96000e+02, 1.63158e-01, 6.53039e-01
17, 202, 1.09536e+00, 9.94669e+00, 1.13001e+01, 1.13001e+01, -3.96000e+02, 1.78218e-01, 6.33011e-01
18, 214, 1.16043e+00, 9.93826e+00, 1.25011e+01, 1.25011e+01, -3.96000e+02, 2.00935e-01, 6.87344e-01
19, 224, 1.21466e+00, 9.93068e+00, 1.14093e+01, 1.14093e+01, -3.96000e+02, 2.00893e-01, 7.10437e-01
20, 237, 1.28515e+00, 9.91745e+00, 1.26649e+01, 1.26649e+01, -3.96000e+02, 2.53165e-01, 6.88477e-01
21, 248, 1.34480e+00, 9.90767e+00, 1.34291e+01, 1.34291e+01, -3.96000e+02, 2.54032e-01, 7.23817e-01
22, 261, 1.41530e+00, 9.89379e+00, 1.51214e+01, 1.51214e+01, -3.96000e+02, 2.68199e-01, 7.51303e-01
23, 273, 1.48037e+00, 9.88163e+00, 1.53398e+01, 1.53398e+01, -3.96000e+02, 2.78388e-01, 8.16335e-01
24, 282, 1.52917e+00, 9.87235e+00, 1.48485e+01, 1.48485e+01, -3.96000e+02, 2.80142e-01, 7.89298e-01
25, 294, 1.59424e+00, 9.86423e+00, 1.53398e+01, 1.53398e+01, -3.96000e+02, 2.89116e-01, 8.54327e-01
26, 305, 1.65389e+00, 9.85672e+00, 1.64316e+01, 1.64316e+01, -3.96000e+02, 2.91803e-01, 8.60956e-01
27, 317, 1.71896e+00, 9.85124e+00, 1.58311e+01, 1.58311e+01, -3.96000e+02, 3.05994e-01, 8.84447e-01
28, 330, 1.78946e+00, 9.83981e+00, 1.62132e+01, 1.62132e+01, -3.96000e+02, 3.12121e-01, 9.09119e-01
29, 340, 1.84368e+00, 9.82784e+00, 1.75780e+01, 1.75780e+01, -3.96000e+02, 3.08824e-01, 9.53147e-01
30, 353, 1.91417e+00, 9.81877e+00, 1.86698e+01, 1.86698e+01, -3.96000e+02, 3.20113e-01, 9.67898e-01
31, 364, 1.97382e+00, 9.80211e+00, 1.88881e+01, 1.88881e+01, -3.96000e+02, 3.15934e-01, 9.88302e-01
32, 375, 2.03347e+00, 9.79657e+00, 1.96524e+01, 1.96524e+01, -3.96000e+02, 3.25333e-01, 1.06884e+00
33, 387, 2.09854e+00, 9.78016e+00, 2.01983e+01, 2.01983e+01, -3.96000e+02, 3.43669e-01, 1.07486e+00
34, 399, 2.16361e+00, 9.77423e+00, 2.10717e+01, 2.10717e+01, -3.96000e+02, 3.58396e-01, 1.13976e+00
35, 413, 2.23953e+00, 9.76038e+00, 2.18360e+01, 2.18360e+01, -3.96000e+02, 3.63196e-01, 1.11667e+00
36, 425, 2.30460e+00, 9.75116e+00, 2.18906e+01, 2.18906e+01, -3.96000e+02, 3.57647e-01, 1.18051e+00
37, 435, 2.35883e+00, 9.74501e+00, 2.21635e+01, 2.21635e+01, -3.96000e+02, 3.58621e-01, 1.21816e+00
38, 448, 2.42932e+00, 9.73504e+00, 2.49476e+01, 2.49476e+01, -3.96000e+02, 3.70536e-01, 1.23073e+00
39, 459, 2.48897e+00, 9.72410e+00, 2.61486e+01, 2.61486e+01, -3.96000e+02, 3.76906e-01, 1.23426e+00
40, 472, 2.55946e+00, 9.72119e+00, 2.83868e+01, 2.83868e+01, -3.96000e+02, 3.89831e-01, 1.25066e+00
41, 483, 2.61911e+00, 9.71246e+00, 2.78954e+01, 2.78954e+01, -3.96000e+02, 3.93375e-01, 1.27372e+00
42, 492, 2.66791e+00, 9.70251e+00, 2.81796e+01, 2.81796e+01, -3.96000e+02, 3.96341e-01, 1.30528e+00
43, 506, 2.74383e+00, 9.68710e+00, 2.75245e+01, 2.75245e+01, -3.96000e+02, 4.13043e-01, 1.26520e+00
44, 519, 2.81432e+00, 9.67054e+00, 3.09091e+01, 3.09091e+01, -3.96000e+02, 4.12331e-01, 1.26040e+00
45, 531, 2.87940e+00, 9.65838e+00, 3.18917e+01, 3.18917e+01, -3.96000e+02, 4.12429e-01, 1.35056e+00
46, 539, 2.92278e+00, 9.65148e+00, 3.11821e+01, 3.11821e+01, -3.96000e+02, 4.17440e-01, 1.32260e+00
47, 551, 2.98785e+00, 9.64166e+00, 3.27106e+01, 3.27106e+01, -3.96000e+02, 4.30127e-01, 1.35141e+00
48, 566, 3.06919e+00, 9.62336e+00, 3.14550e+01, 3.14550e+01, -3.96000e+02, 4.43463e-01, 1.50674e+00
49, 577, 3.12884e+00, 9.61887e+00, 3.41845e+01, 3.41845e+01, -3.96000e+02, 4.45407e-01, 1.45639e+00
50, 587, 3.18306e+00, 9.61533e+00, 3.66411e+01, 3.66411e+01, -3.96000e+02, 4.51448e-01, 1.56028e+00
51, 600, 3.25355e+00, 9.60864e+00, 3.75691e+01, 3.75691e+01, -3.96000e+02, 4.58333e-01, 1.62240e+00
52, 610, 3.30778e+00, 9.60201e+00, 3.95889e+01, 3.95889e+01, -3.96000e+02, 4.60656e-01, 1.63127e+00
53, 620, 3.36201e+00, 9.59780e+00, 3.98619e+01, 3.98619e+01, -3.96000e+02, 4.61290e-01, 1.67940e+00
54, 632, 3.42708e+00, 9.58367e+00, 4.26459e+01, 4.26459e+01, -3.96000e+02, 4.71519e-01, 1.60098e+00
55, 646, 3.50299e+00, 9.57234e+00, 4.35194e+01, 4.35194e+01, -3.96000e+02, 4.70588e-01, 1.68147e+00
56, 655, 3.55180e+00, 9.56332e+00, 4.34102e+01, 4.34102e+01, -3.96000e+02, 4.77863e-01, 1.68331e+00
57, 664, 3.60060e+00, 9.55797e+00, 4.56484e+01, 4.56484e+01, -3.96000e+02, 4.78916e-01, 1.72315e+00
58, 676, 3.66567e+00, 9.54768e+00, 4.56372e+01, 4.56372e+01, -3.96000e+02, 4.91124e-01, 1.63403e+00
59, 685, 3.71447e+00, 9.54253e+00, 4.77662e+01, 4.77662e+01, -3.96000e+02, 4.99270e-01, 1.71123e+00
60, 700, 3.79581e+00, 9.53270e+00, 0.00000e+00, 0.00000e+00, -1.40000e+01, 5.07143e-01, 1.70387e+00
61, 713, 3.86631e+00, 9.51921e+00, 4.94039e+01, 4.94039e+01, -1.40000e+01, 5.09116e-01, 1.89615e+00
62, 725, 3.93138e+00, 9.51414e+00, 5.07140e+01, 5.07140e+01, -1.40000e+01, 5.14483e-01, 1.91866e+00
63, 738, 4.00187e+00, 9.50065e+00, 5.07686e+01, 5.07686e+01, -1.40000e+01, 5.20325e-01, 1.80526e+00
64, 750, 4.06694e+00, 9.48871e+00, 5.13691e+01, 5.13691e+01, -1.40000e+01, 5.24000e-01, 1.90160e+00
65, 762, 4.13201e+00, 9.47511e+00, 5.22971e+01, 5.22971e+01, -1.40000e+01, 5.35433e-01, 1.89806e+00
66, 770, 4.17540e+00, 9.45734e+00, 5.42078e+01, 5.42078e+01, -1.40000e+01, 5.42857e-01, 1.87897e+00
67, 782, 4.24047e+00, 9.34408e+00, 2.88781e+01, 2.88781e+01, -1.40000e+01, 2.62148e-01, 2.15451e+00
68, 795, 4.31096e+00, 9.38615e+00, 2.94973e+01, 2.94973e+01, -1.40000e+01, 1.68553e-01, 2.41554e+00
69, 805, 4.36519e+00, 9.42161e+00, 3.07529e+01, 3.07529e+01, -1.40000e+01, 1.42857e-01, 2.64347e+00
70, 813, 4.40857e+00, 9.49456e+00, 4.01423e+01, 4.01423e+01, -1.40000e+01, 1.52522e-01, 2.91437e+00
71, 825, 4.47364e+00, 9.54612e+00, 4.24897e+01, 4.24897e+01, -1.40000e+01, 1.70909e-01, 3.31557e+00
72, 836, 4.53329e+00, 9.62566e+00, 5.11628e+01, 5.11628e+01, -1.40000e+01, 1.85407e-01, 3.49437e+00
73, 848, 4.59836e+00, 9.65319e+00, 5.37831e+01, 5.37831e+01, -1.40000e+01, 2.01651e-01, 3.42382e+00
74, 862, 4.67427e+00, 9.67310e+00, 6.18078e+01, 6.18078e+01, -1.40000e+01, 2.16937e-01, 2.72261e+00
75, 875, 4.74477e+00, 9.66192e+00, 6.81402e+01, 6.81402e+01, -1.40000e+01, 2.30857e-01, 2.25927e+00
76, 881, 4.77730e+00, 9.64339e+00, 7.10335e+01, 7.10335e+01, -1.40000e+01, 2.37230e-01, 1.95586e+00
77, 891, 4.83153e+00, 9.58686e+00, 7.19615e+01, 7.19615e+01, -1.40000e+01, 2.62626e-01, 1.76320e+00
78, 901, 4.88575e+00, 9.55691e+00, 7.86761e+01, 7.86761e+01, -1.40000e+01, 2.85239e-01, 1.73438e+00
79, 913, 4.95083e+00, 9.52723e+00, 8.33162e+01, 8.33162e+01, -1.40000e+01, 3.18729e-01, 1.77712e+00
80, 924, 5.01047e+00, 9.50338e+00, 9.10134e+01, 9.10134e+01, -1.40000e+01, 3.60390e-01, 1.79778e+00
81, 936, 5.07555e+00, 9.49052e+00, 9.95294e+01, 9.95294e+01, -1.40000e+01, 3.97436e-01, 1.92420e+00
82, 947, 5.13519e+00, 9.47910e+00, 1.07936e+02, 1.07936e+02, -1.40000e+01, 4.38226e-01, 1.80774e+00
83, 956, 5.18400e+00, 9.46359e+00, 1.12904e+02, 1.12904e+02, -1.40000e+01, 4.60251e-01, 1.95904e+00
84, 966, 5.23822e+00, 9.44686e+00, 1.19346e+02, 1.19346e+02, -1.40000e+01, 4.84472e-01, 1.99043e+00
